case_id,object_id,fixed_psnr_lowres,guided_psnr_lowres,pipeline_psnr_lowres,psnr_gain_over_fixed_lowres,psnr_gap_to_guided_lowres
0,heldout_object_family_object_00,16.31844352843027,17.788670371689633,13.740099292797101,-2.5783442356331676,4.048571078892532
0,heldout_object_family_object_01,18.160673359760583,19.41454730749181,21.64091954706894,3.4802461873083566,-2.226372239577131
0,heldout_object_family_object_02,17.6744231771453,19.26538720315547,17.38037593714869,-0.29404723999661186,1.8850112660067815
0,heldout_object_family_object_03,17.78170730901109,19.242264147759073,18.49364265967115,0.7119353506600596,0.7486214880879238
1,heldout_object_family_object_00,16.34769026688087,18.64976570413067,13.77379869883584,-2.573891568045031,4.875967005294829
1,heldout_object_family_object_01,18.761723523477187,21.64131117768932,21.99771597572173,3.235992452244542,-0.35640479803240765
1,heldout_object_family_object_02,17.853938920947957,20.00626597254712,17.137944580971013,-0.7159943399769446,2.8683213915761065
1,heldout_object_family_object_03,18.227384223142614,21.0693770493002,18.1025843940739,-0.12479982906871356,2.9667926552262998
2,heldout_object_family_object_00,16.968116959146172,19.21872109299939,13.720359779511233,-3.24775717963494,5.498361313488159
2,heldout_object_family_object_01,18.959652382426214,20.98203652654789,23.20033257777698,4.240680195350766,-2.218296051229089
2,heldout_object_family_object_02,18.459160456598617,20.583021488130633,16.972325090414863,-1.4868353661837546,3.6106963977157704
2,heldout_object_family_object_03,18.831472568096483,21.302711584636278,18.769940076653096,-0.061532491443387016,2.532771507983181
3,heldout_object_family_object_00,16.306993962552212,19.46337792884422,13.693721648910472,-2.6132723136417404,5.7696562799337485
3,heldout_object_family_object_01,18.77639576632745,23.357078510172002,22.261651695880825,3.485255929553375,1.0954268142911765
3,heldout_object_family_object_02,18.109503117555548,20.92249454608225,17.01425227487112,-1.095250842684429,3.9082422712111295
3,heldout_object_family_object_03,18.471114673787635,22.61105433347201,17.5017824474875,-0.9693322263001356,5.1092718859845085
4,heldout_object_family_object_00,16.169771326164746,17.64676325573868,13.762943978238013,-2.4068273479267326,3.883819277500667
4,heldout_object_family_object_01,18.454186520353574,20.092014090885083,22.771851931481145,4.317665411127571,-2.6798378405960612
4,heldout_object_family_object_02,17.57036167485442,19.218953568098602,17.205540785464777,-0.3648208893896445,2.013412782633825
4,heldout_object_family_object_03,18.228062702259603,19.542884291996486,19.131156832158933,0.9030941298993298,0.41172745983755377
5,heldout_object_family_object_00,15.09242578934469,17.19349895497443,13.786929127786367,-1.3054966615583226,3.406569827188063
5,heldout_object_family_object_01,16.867707861345117,19.624128572782567,19.25937886473968,2.3916710033945634,0.3647497080428863
5,heldout_object_family_object_02,16.433671580766823,17.78053860901301,16.59680493430061,0.16313335353378733,1.1837336747123999
5,heldout_object_family_object_03,16.85813542549012,19.447053587244124,18.204402167635507,1.3462667421453887,1.2426514196086167
