seed,protocol,case_id,object_id,split,defocus,astig_x,coma_x,fixed_psnr_lowres,guided_psnr_lowres,phaseonly_psnr_lowres,fixed_ssim_lowres,guided_ssim_lowres,phaseonly_ssim_lowres,phaseonly_psnr_gain_over_fixed_lowres,phaseonly_psnr_gap_to_guided_lowres,phaseonly_ssim_gain_over_fixed_lowres
1,same_family_heldout_aberration,0,heldout_aberration_object_00,heldout_aberration,1.4892790756881622,0.2791330178417015,-0.12974182574113158,20.085256668449183,21.886209986871425,28.474254786989132,0.7754342274676234,0.8627078709870682,0.974693055337217,8.388998118539948,-6.588044800117707,0.1992588278695936
1,same_family_heldout_aberration,0,heldout_aberration_object_01,heldout_aberration,1.4892790756881622,0.2791330178417015,-0.12974182574113158,19.904730584902243,24.24690495623155,29.992647380668643,0.8049486277392205,0.93796624834498,0.9854961008338774,10.0879167957664,-5.745742424437093,0.1805474730946569
1,same_family_heldout_aberration,0,heldout_aberration_object_02,heldout_aberration,1.4892790756881622,0.2791330178417015,-0.12974182574113158,23.932536401226187,29.13824288266547,30.26344365295767,0.9479006616455172,0.9857001871875246,0.9896330033990192,6.330907251731482,-1.1252007702921993,0.041732341753501934
1,same_family_heldout_aberration,0,heldout_aberration_object_03,heldout_aberration,1.4892790756881622,0.2791330178417015,-0.12974182574113158,18.344790539211054,20.705884407652032,24.49932181943811,0.8193373858258397,0.905614668395421,0.9646468600146004,6.154531280227054,-3.7934374117860763,0.14530947418876072
1,same_family_heldout_aberration,0,heldout_aberration_object_04,heldout_aberration,1.4892790756881622,0.2791330178417015,-0.12974182574113158,17.16170347859854,22.03852909401661,30.285106399678305,0.7959187137324822,0.9380577681374715,0.9925655806305669,13.123402921079766,-8.246577305661695,0.19664686689808464
1,same_family_heldout_aberration,0,heldout_aberration_object_05,heldout_aberration,1.4892790756881622,0.2791330178417015,-0.12974182574113158,18.003749202577875,22.28590122225617,27.630467342526295,0.928394224273722,0.9751479444125111,0.993421072657272,9.62671813994842,-5.344566120270123,0.06502684838355
1,same_family_heldout_aberration,1,heldout_aberration_object_00,heldout_aberration,0.17801054987170417,0.7226379391539648,0.789416954458755,22.85349791378819,25.973684609326884,30.37407382170814,0.8930791409958052,0.9504344412689234,0.9845722263897341,7.520575907919952,-4.400389212381256,0.09149308539392886
1,same_family_heldout_aberration,1,heldout_aberration_object_01,heldout_aberration,0.17801054987170417,0.7226379391539648,0.789416954458755,21.383053071134796,24.315986321988383,29.044429877521374,0.8752619965613588,0.9391497659720042,0.982092793967131,7.661376806386578,-4.728443555532991,0.10683079740577217
1,same_family_heldout_aberration,1,heldout_aberration_object_02,heldout_aberration,0.17801054987170417,0.7226379391539648,0.789416954458755,27.1002533148349,32.485622422762205,34.21374624678565,0.9764429385805415,0.9931961565038137,0.9958621774303404,7.113492931950745,-1.7281238240234416,0.019419238849798903
1,same_family_heldout_aberration,1,heldout_aberration_object_03,heldout_aberration,0.17801054987170417,0.7226379391539648,0.789416954458755,20.39579609637006,23.78636214664538,25.874402897056058,0.8969831163837176,0.9549409319219873,0.9748270516418861,5.4786068006859985,-2.088040750410677,0.07784393525816846
1,same_family_heldout_aberration,1,heldout_aberration_object_04,heldout_aberration,0.17801054987170417,0.7226379391539648,0.789416954458755,19.35187339882073,22.57022973887699,33.71148069470857,0.8851055480448148,0.9455156273715501,0.996502559302201,14.359607295887841,-11.14125095583158,0.11139701125738621
1,same_family_heldout_aberration,1,heldout_aberration_object_05,heldout_aberration,0.17801054987170417,0.7226379391539648,0.789416954458755,19.536136887239905,24.140018228477377,27.455230698912647,0.9520965126279358,0.9836707161392884,0.9932908434851336,7.919093811672742,-3.31521247043527,0.041194330857197814
1,same_family_heldout_aberration,2,heldout_aberration_object_00,heldout_aberration,-1.2801339519340735,0.65776533640643,-0.5566166969317177,25.215866354027,31.03518918182432,30.466072411347028,0.9425058325610713,0.9852297391464556,0.9856808442499995,5.250206057320028,0.5691167704772937,0.04317501168892812
1,same_family_heldout_aberration,2,heldout_aberration_object_01,heldout_aberration,-1.2801339519340735,0.65776533640643,-0.5566166969317177,23.316153373942505,28.25819201874134,32.14245614385082,0.9279493150454655,0.9767658736448058,0.9913869131104421,8.826302769908317,-3.884264125109482,0.06343759806497662
1,same_family_heldout_aberration,2,heldout_aberration_object_02,heldout_aberration,-1.2801339519340735,0.65776533640643,-0.5566166969317177,27.269430741293167,34.12704290752768,31.315997317848048,0.976689238409186,0.995370352094344,0.9903041079771957,4.046566576554881,2.811045589679633,0.013614869568009724
1,same_family_heldout_aberration,2,heldout_aberration_object_03,heldout_aberration,-1.2801339519340735,0.65776533640643,-0.5566166969317177,22.58894161798528,27.644079724339633,31.13292959998652,0.9429157516708903,0.9821456807689724,0.9928462568360468,8.54398798200124,-3.4888498756468884,0.049930505165156513
1,same_family_heldout_aberration,2,heldout_aberration_object_04,heldout_aberration,-1.2801339519340735,0.65776533640643,-0.5566166969317177,20.77581264567137,27.79782287477599,27.693288982007793,0.9161462081021685,0.9829618383079889,0.9863947356111077,6.917476336336424,0.10453389276819536,0.07024852750893917
1,same_family_heldout_aberration,2,heldout_aberration_object_05,heldout_aberration,-1.2801339519340735,0.65776533640643,-0.5566166969317177,20.478892895984764,27.234511846826667,31.752467631058,0.9606288393341905,0.9921718120351921,0.9975571415460033,11.273574735073236,-4.517955784231333,0.03692830221181276
1,same_family_heldout_aberration,3,heldout_aberration_object_00,heldout_aberration,0.6767418688641911,-0.08060906189817163,0.5592527296383127,22.709749473291858,25.482994190508634,36.40214146805161,0.8881216131257879,0.9439058442303687,0.9960338818862606,13.692391994759753,-10.919147277542976,0.10791226876047277
1,same_family_heldout_aberration,3,heldout_aberration_object_01,heldout_aberration,0.6767418688641911,-0.08060906189817163,0.5592527296383127,21.00627967172812,23.35235884529152,31.006348454483636,0.8586937907321106,0.9231572153427178,0.9885212298811855,10.000068782755516,-7.6539896091921165,0.1298274391490749
1,same_family_heldout_aberration,3,heldout_aberration_object_02,heldout_aberration,0.6767418688641911,-0.08060906189817163,0.5592527296383127,26.088755633534202,30.206886713696566,34.82628571235301,0.9699344317364537,0.9884702890640399,0.9961978587782083,8.73753007881881,-4.619398998656447,0.02626342704175466
1,same_family_heldout_aberration,3,heldout_aberration_object_03,heldout_aberration,0.6767418688641911,-0.08060906189817163,0.5592527296383127,20.186685664224214,23.036048096202663,27.703066388284444,0.8887037250023183,0.9462058675068432,0.9836610831284265,7.51638072406023,-4.6670182920817815,0.09495735812610817
1,same_family_heldout_aberration,3,heldout_aberration_object_04,heldout_aberration,0.6767418688641911,-0.08060906189817163,0.5592527296383127,18.626242266059492,20.995110722873235,32.96488560799784,0.8595269368227162,0.9199744261136226,0.9959835359271615,14.33864334193835,-11.969774885124608,0.1364565991044453
1,same_family_heldout_aberration,3,heldout_aberration_object_05,heldout_aberration,0.6767418688641911,-0.08060906189817163,0.5592527296383127,19.254103239574313,22.587805266798554,28.18219905582964,0.9482855543926315,0.9763625527008709,0.9942480275366476,8.928095816255325,-5.594393789031084,0.045962473144016136
1,same_family_heldout_aberration,4,heldout_aberration_object_00,heldout_aberration,-0.560235344172853,-0.22388694274312648,-0.4747462142945784,24.577725437643455,29.300402975879617,34.59985921884573,0.9333472701505334,0.9776267276952704,0.9942923556633572,10.022133781202275,-5.299456242966112,0.06094508551282374
1,same_family_heldout_aberration,4,heldout_aberration_object_01,heldout_aberration,-0.560235344172853,-0.22388694274312648,-0.4747462142945784,22.760290402877583,25.405136005781905,30.812257013913317,0.913618967043529,0.9531905979051012,0.9881510860874878,8.051966611035734,-5.407121008131412,0.07453211904395884
