metric,mean,std,ci95_half_width,seed_count
mean_fixed_psnr_lowres,17.844623935063254,0.25968055694667663,0.2938562133346924,3
mean_guided_psnr_lowres,20.81722974790135,0.2816914017355762,0.31876382897605837,3
mean_phaseonly_psnr_lowres,26.99151536901869,0.9269355084703795,1.0489262720601207,3
mean_phaseonly_psnr_gain_over_fixed_lowres,9.146891433955437,0.6686097113460864,0.7566031137837835,3
mean_phaseonly_psnr_gap_to_guided_lowres,-6.174285621117337,0.7554774651375867,0.8549032310132084,3
mean_fixed_ssim_lowres,0.8312195063721282,0.009453110960725509,0.010697202069394379,3
mean_guided_ssim_lowres,0.9110153976863575,0.005749147594655103,0.006505772946314626,3
mean_phaseonly_ssim_lowres,0.9801833116420715,0.0035188124764761707,0.003981911167821809,3
mean_phaseonly_ssim_gain_over_fixed_lowres,0.14896380526994324,0.005935150053415296,0.0067162545427994795,3
phaseonly_better_than_fixed_fraction,1.0,0.0,0.0,3
