case_id,object_id,fixed_psnr_lowres,guided_psnr_lowres,pipeline_psnr_lowres,psnr_gain_over_fixed_lowres,psnr_gap_to_guided_lowres,dataset_name,dataset_version,seed,training_regime
0,Kodak-PCD0992:kodim01,26.761397083260086,28.203795996094097,25.12531692281587,-1.636080160444216,3.0784790732782277,Kodak-PCD0992,unrestricted public release,0,mixed_synthetic_plus_public_natural_thickstats
0,Kodak-PCD0992:kodim02,29.280019767186864,29.88855062261497,28.017094492447473,-1.2629252747393913,1.8714561301674983,Kodak-PCD0992,unrestricted public release,0,mixed_synthetic_plus_public_natural_thickstats
0,Kodak-PCD0992:kodim03,23.729149713734806,25.041307899826077,22.75093310923851,-0.9782166044962963,2.290374790587567,Kodak-PCD0992,unrestricted public release,0,mixed_synthetic_plus_public_natural_thickstats
0,Kodak-PCD0992:kodim04,25.281016212952807,26.383786520111812,23.808029030092918,-1.4729871828598888,2.575757490018894,Kodak-PCD0992,unrestricted public release,0,mixed_synthetic_plus_public_natural_thickstats
0,Kodak-PCD0992:kodim05,26.228848875267026,27.30693974945074,24.076106698468976,-2.15274217679805,3.230833050981765,Kodak-PCD0992,unrestricted public release,0,mixed_synthetic_plus_public_natural_thickstats
0,Kodak-PCD0992:kodim06,24.11596052223843,25.65806263156493,22.981160811412302,-1.1347997108261296,2.6769018201526293,Kodak-PCD0992,unrestricted public release,0,mixed_synthetic_plus_public_natural_thickstats
0,Kodak-PCD0992:kodim07,25.70490625102257,27.008338821399818,24.483575813620888,-1.221330437401683,2.5247630077789296,Kodak-PCD0992,unrestricted public release,0,mixed_synthetic_plus_public_natural_thickstats
0,Kodak-PCD0992:kodim08,21.605922750868988,23.16890919384299,21.192874974931648,-0.4130477759373399,1.976034218911341,Kodak-PCD0992,unrestricted public release,0,mixed_synthetic_plus_public_natural_thickstats
0,Kodak-PCD0992:kodim09,24.574931648663846,25.27960817232838,23.44507035721877,-1.1298612914450743,1.8345378151096092,Kodak-PCD0992,unrestricted public release,0,mixed_synthetic_plus_public_natural_thickstats
0,Kodak-PCD0992:kodim10,25.72687137189792,26.765139198695927,23.970492176826326,-1.7563791950715952,2.7946470218696007,Kodak-PCD0992,unrestricted public release,0,mixed_synthetic_plus_public_natural_thickstats
0,Kodak-PCD0992:kodim11,27.240342910415904,28.403698049288142,26.209750094454968,-1.0305928159609365,2.193947954833174,Kodak-PCD0992,unrestricted public release,0,mixed_synthetic_plus_public_natural_thickstats
0,Kodak-PCD0992:kodim12,21.10153436555518,22.32987344444367,22.345631052683373,1.2440966871281915,-0.015757608239702847,Kodak-PCD0992,unrestricted public release,0,mixed_synthetic_plus_public_natural_thickstats
1,Kodak-PCD0992:kodim01,27.7124921582196,29.682409064414674,25.508039070571336,-2.2044530876482646,4.174369993843339,Kodak-PCD0992,unrestricted public release,0,mixed_synthetic_plus_public_natural_thickstats
1,Kodak-PCD0992:kodim02,30.35935587138447,32.343297586571985,28.599109030006904,-1.7602468413775654,3.7441885565650814,Kodak-PCD0992,unrestricted public release,0,mixed_synthetic_plus_public_natural_thickstats
1,Kodak-PCD0992:kodim03,24.337118845515402,26.774618967287324,22.928122801134393,-1.4089960443810092,3.8464961661529316,Kodak-PCD0992,unrestricted public release,0,mixed_synthetic_plus_public_natural_thickstats
1,Kodak-PCD0992:kodim04,25.337556954253003,26.99160208672295,23.7012024491814,-1.6363545050716013,3.2903996375415474,Kodak-PCD0992,unrestricted public release,0,mixed_synthetic_plus_public_natural_thickstats
1,Kodak-PCD0992:kodim05,26.000978698810616,27.550394077293667,23.98948249752221,-2.0114962012884057,3.5609115797714566,Kodak-PCD0992,unrestricted public release,0,mixed_synthetic_plus_public_natural_thickstats
1,Kodak-PCD0992:kodim06,23.928953243300075,25.694395438934553,22.759476842711504,-1.1694764005885716,2.9349185962230493,Kodak-PCD0992,unrestricted public release,0,mixed_synthetic_plus_public_natural_thickstats
1,Kodak-PCD0992:kodim07,26.55535453296903,28.741508288712645,24.787744789316474,-1.7676097436525566,3.953763499396171,Kodak-PCD0992,unrestricted public release,0,mixed_synthetic_plus_public_natural_thickstats
1,Kodak-PCD0992:kodim08,22.246608011468446,24.29950975889212,21.49589871389683,-0.7507092975716176,2.803611044995293,Kodak-PCD0992,unrestricted public release,0,mixed_synthetic_plus_public_natural_thickstats
1,Kodak-PCD0992:kodim09,24.682652435450997,26.401775612869343,23.172712464878288,-1.5099399705727095,3.229063147991056,Kodak-PCD0992,unrestricted public release,0,mixed_synthetic_plus_public_natural_thickstats
1,Kodak-PCD0992:kodim10,26.03509499288373,28.105843222831687,24.289627598346428,-1.7454673945373038,3.8162156244852596,Kodak-PCD0992,unrestricted public release,0,mixed_synthetic_plus_public_natural_thickstats
1,Kodak-PCD0992:kodim11,27.487783962454735,29.31711556864469,26.394159523024566,-1.0936244394301688,2.9229560456201256,Kodak-PCD0992,unrestricted public release,0,mixed_synthetic_plus_public_natural_thickstats
1,Kodak-PCD0992:kodim12,21.386338698185973,23.349148388801552,22.466772984231447,1.0804342860454739,0.8823754045701051,Kodak-PCD0992,unrestricted public release,0,mixed_synthetic_plus_public_natural_thickstats
2,Kodak-PCD0992:kodim01,27.790705693646483,29.255724605137992,25.410984774169883,-2.3797209194766005,3.844739830968109,Kodak-PCD0992,unrestricted public release,0,mixed_synthetic_plus_public_natural_thickstats
2,Kodak-PCD0992:kodim02,30.289387467950792,31.573284968340346,28.324194850285057,-1.9651926176657355,3.249090118055289,Kodak-PCD0992,unrestricted public release,0,mixed_synthetic_plus_public_natural_thickstats
2,Kodak-PCD0992:kodim03,24.425261526855053,26.501137395701406,22.76078508334056,-1.6644764435144914,3.7403523123608444,Kodak-PCD0992,unrestricted public release,0,mixed_synthetic_plus_public_natural_thickstats
2,Kodak-PCD0992:kodim04,25.74407117584066,27.74327771875894,23.775441996219747,-1.9686291796209119,3.967835722539192,Kodak-PCD0992,unrestricted public release,0,mixed_synthetic_plus_public_natural_thickstats
2,Kodak-PCD0992:kodim05,26.443905876364617,27.774560898774652,23.980888737174926,-2.4630171391896916,3.7936721615997264,Kodak-PCD0992,unrestricted public release,0,mixed_synthetic_plus_public_natural_thickstats
2,Kodak-PCD0992:kodim06,24.750944971861657,26.669523251896724,22.930239808797225,-1.8207051630644315,3.739283443099499,Kodak-PCD0992,unrestricted public release,0,mixed_synthetic_plus_public_natural_thickstats
2,Kodak-PCD0992:kodim07,26.559553252123386,28.166234167689872,25.107334022053628,-1.4522192300697583,3.058900145636244,Kodak-PCD0992,unrestricted public release,0,mixed_synthetic_plus_public_natural_thickstats
2,Kodak-PCD0992:kodim08,22.555480965228018,24.600809583049752,21.504314950867393,-1.051166014360625,3.0964946321823597,Kodak-PCD0992,unrestricted public release,0,mixed_synthetic_plus_public_natural_thickstats
2,Kodak-PCD0992:kodim09,25.478038337231887,27.72758279886017,23.52124364096944,-1.9567946962624454,4.206339157890728,Kodak-PCD0992,unrestricted public release,0,mixed_synthetic_plus_public_natural_thickstats
2,Kodak-PCD0992:kodim10,26.215827707708286,27.83499323900633,24.175031465739064,-2.040796241969222,3.6599617732672662,Kodak-PCD0992,unrestricted public release,0,mixed_synthetic_plus_public_natural_thickstats
2,Kodak-PCD0992:kodim11,27.759583299293958,29.606766194447346,26.236221008529952,-1.5233622907640054,3.3705451859173934,Kodak-PCD0992,unrestricted public release,0,mixed_synthetic_plus_public_natural_thickstats
2,Kodak-PCD0992:kodim12,21.827796398423025,24.578390890476992,22.53561295434722,0.7078165559241931,2.0427779361297738,Kodak-PCD0992,unrestricted public release,0,mixed_synthetic_plus_public_natural_thickstats
3,Kodak-PCD0992:kodim01,27.92063435081403,29.807045244556228,25.64005598198937,-2.28057836882466,4.166989262566858,Kodak-PCD0992,unrestricted public release,0,mixed_synthetic_plus_public_natural_thickstats
3,Kodak-PCD0992:kodim02,30.047849687614022,31.62219931273738,28.579465153452006,-1.4683845341620163,3.0427341592853736,Kodak-PCD0992,unrestricted public release,0,mixed_synthetic_plus_public_natural_thickstats
3,Kodak-PCD0992:kodim03,24.330576559432476,27.710027765267288,22.613671548263675,-1.7169050111688016,5.096356217003613,Kodak-PCD0992,unrestricted public release,0,mixed_synthetic_plus_public_natural_thickstats
3,Kodak-PCD0992:kodim04,25.315262283862644,28.185737987461472,23.75430187344137,-1.5609604104212735,4.4314361140201015,Kodak-PCD0992,unrestricted public release,0,mixed_synthetic_plus_public_natural_thickstats
3,Kodak-PCD0992:kodim05,25.9888063467766,27.77789628055961,23.99522501417621,-1.9935813326003888,3.7826712663833995,Kodak-PCD0992,unrestricted public release,0,mixed_synthetic_plus_public_natural_thickstats
3,Kodak-PCD0992:kodim06,24.36718881107758,26.460914151576137,22.811393983770223,-1.5557948273073556,3.649520167805914,Kodak-PCD0992,unrestricted public release,0,mixed_synthetic_plus_public_natural_thickstats
