path_rank,c7_rank,path_mode,k_b_label,m_label,k_t_label,ac7_first_pattern,bc7_first_pattern,ac7_second_pattern,bc7_second_pattern,ac7_second_conjugated,bc7_second_conjugated,overall_rmse_meV,gamma_end_max_abs_delta_meV,k_b_window_rmse_meV,m_window_rmse_meV,k_t_window_rmse_meV,rowwise_sum_rmse_meV,valley_window_gap_meV
2,1,exclusive_150,K_2b1+b2,M_b2,K_-2b1-b2,cyc,cyc,anti,anti,False,False,8.366681078827218,0.03506206761572983,14.95024009656701,3.191023459139489,15.067656909621446,14.49151671925393,0.11741681305443663
1,1,exclusive_150,K_-2b1-b2,M_b2,K_2b1+b2,cyc,cyc,anti,anti,False,False,8.37238546325572,0.03618005930289314,15.056229196529134,3.286280468694131,14.95142467024575,14.501397002909997,0.10480452628338455
3,1,duplicated_150,K_2b1+b2,M_b2,K_-2b1-b2,cyc,cyc,anti,anti,False,False,8.384741569087636,7.105427357601002e-15,14.985205464085105,3.2473975802979513,15.074898514018235,14.522798405994575,0.0896930499331301
4,1,duplicated_150,K_-2b1-b2,M_b2,K_2b1+b2,cyc,cyc,anti,anti,False,False,8.384741569087636,7.105427357601002e-15,15.074898514018226,3.2473975802979513,14.985205464085114,14.522798405994575,0.08969304993311233
2,2,exclusive_150,K_2b1+b2,M_b2,K_-2b1-b2,cyc,cyc,anti,anti,False,True,8.406284905067464,0.03895435255358137,14.998490020459235,3.7398317932768124,15.066670267199765,14.560112558476165,0.06818024674053014
2,3,exclusive_150,K_2b1+b2,M_b2,K_-2b1-b2,cyc,cyc,anti,anti,True,False,8.411505923151347,0.03909335866789476,14.923353907997747,3.6317418524145926,15.04972840278601,14.569155627064687,0.1263744947882639
1,2,exclusive_150,K_-2b1-b2,M_b2,K_2b1+b2,cyc,cyc,anti,anti,False,True,8.41233500171717,0.04007995201125425,15.056736273678265,3.8144646189389446,14.99994924931926,14.570591633264156,0.0567870243590054
1,3,exclusive_150,K_-2b1-b2,M_b2,K_2b1+b2,cyc,cyc,anti,anti,True,False,8.41891807002581,0.04032017081884476,15.035701489560875,3.7435283208289376,14.92608272707821,14.581993842044419,0.10961876248266478
3,2,duplicated_150,K_2b1+b2,M_b2,K_-2b1-b2,cyc,cyc,anti,anti,False,True,8.424255974458328,1.7763568394002505e-14,15.025421661164762,3.7812418845811497,15.074898533601434,14.591239363727489,0.04947687243667254
4,2,duplicated_150,K_-2b1-b2,M_b2,K_2b1+b2,cyc,cyc,anti,anti,False,True,8.424255974458328,1.7763568394002505e-14,15.074898533601427,3.7812418845811497,15.025421661164769,14.591239363727487,0.049476872436658326
