seed,protocol,case_id,object_id,split,defocus,astig_x,coma_x,fixed_psnr_lowres,guided_psnr_lowres,phaseonly_psnr_lowres,fixed_ssim_lowres,guided_ssim_lowres,phaseonly_ssim_lowres,phaseonly_psnr_gain_over_fixed_lowres,phaseonly_psnr_gap_to_guided_lowres,phaseonly_ssim_gain_over_fixed_lowres
2,same_family_heldout_aberration,0,heldout_aberration_object_00,heldout_aberration,-1.0812159886982062,-0.2440428043061511,0.5037676989755981,25.599241574625093,31.90477823354843,39.740190685768034,0.9486312907613035,0.9878179017337149,0.9982228691321792,14.140949111142941,-7.835412452219604,0.04959157837087569
2,same_family_heldout_aberration,0,heldout_aberration_object_01,heldout_aberration,-1.0812159886982062,-0.2440428043061511,0.5037676989755981,23.328487789558192,27.784017808099183,33.94930921043433,0.9273601321550001,0.9739130224684404,0.9943576350984247,10.620821420876137,-6.165291402335146,0.06699750294342455
2,same_family_heldout_aberration,0,heldout_aberration_object_02,heldout_aberration,-1.0812159886982062,-0.2440428043061511,0.5037676989755981,28.205406496667912,33.30787534252015,38.770148519287545,0.9810987973861903,0.9943890994785427,0.9985844423198466,10.564742022619633,-5.462273176767397,0.01748564493365623
2,same_family_heldout_aberration,0,heldout_aberration_object_03,heldout_aberration,-1.0812159886982062,-0.2440428043061511,0.5037676989755981,22.402450481583145,27.511451295245806,36.72196435461559,0.9392892735889057,0.9815564228040087,0.9979607814513203,14.319513873032442,-9.21051305936978,0.058671507862414596
2,same_family_heldout_aberration,0,heldout_aberration_object_04,heldout_aberration,-1.0812159886982062,-0.2440428043061511,0.5037676989755981,21.190238600261587,26.94825971308567,37.88709012783501,0.9231568173320845,0.9799847872882631,0.9987616088114103,16.696851527573422,-10.93883041474934,0.07560479147932575
2,same_family_heldout_aberration,0,heldout_aberration_object_05,heldout_aberration,-1.0812159886982062,-0.2440428043061511,0.5037676989755981,21.10663288621729,26.74383028888102,42.38366854732269,0.9668708986849178,0.9913104575590128,0.9997899741466564,21.2770356611054,-15.63983825844167,0.032919075461738556
2,same_family_heldout_aberration,1,heldout_aberration_object_00,heldout_aberration,-0.10201080243403671,-0.003975101560408589,-0.6929103589752122,23.922224899215717,28.266585536868313,37.84980447660745,0.9195503853292252,0.9716809716342498,0.997249925253804,13.927579577391736,-9.58321893973914,0.07769953992457879
2,same_family_heldout_aberration,1,heldout_aberration_object_01,heldout_aberration,-0.10201080243403671,-0.003975101560408589,-0.6929103589752122,21.941991398824552,24.321063810663816,38.841429638142,0.8930286477207374,0.9395324919980066,0.9981970162547142,16.89943823931745,-14.520365827478187,0.10516836853397682
2,same_family_heldout_aberration,1,heldout_aberration_object_02,heldout_aberration,-0.10201080243403671,-0.003975101560408589,-0.6929103589752122,27.20754549317439,32.43048484569125,44.35038511939514,0.9773278761568008,0.9930785194524919,0.9996070458870365,17.142839626220752,-11.919900273703895,0.022279169730235693
2,same_family_heldout_aberration,1,heldout_aberration_object_03,heldout_aberration,-0.10201080243403671,-0.003975101560408589,-0.6929103589752122,21.446216407174102,24.86168724597089,34.68255615964813,0.9207531458622381,0.9651768501034077,0.9967280731172516,13.236339752474027,-9.820868913677238,0.07597492725501354
