candidate,barrier_Z,orientation_alpha,intervalley_eta,field_phi,inner_gap,outer_gap,inner_signal,outer_signal,zero_bias,inner_selectivity
s_wave,0.2,0.0,0.0,0.0,0.04000000235177162,0.09500000235177161,379.60282993330145,188.9996100060302,230.79931534816544,2.0084847260858893
s_wave,0.2,0.0,0.0,1.5707963268,0.04000000235177162,0.09500000235177161,372.16586850520923,185.13511823590255,226.28582833720577,2.0102391812610545
s_wave,0.2,0.0,0.2,0.0,0.04000000235177162,0.09500000235177161,381.93009789054537,190.31899288475512,232.2070502524724,2.00678919166947
s_wave,0.2,0.0,0.2,1.5707963268,0.04000000235177162,0.09500000235177161,374.49313646245315,186.45450111462748,227.69356324151272,2.0084960900580477
s_wave,0.2,0.0,0.45,0.0,0.04000000235177162,0.09500000235177161,384.8391828371002,191.9682214831613,233.96671888285613,2.0047025484937193
s_wave,0.2,0.0,0.45,1.5707963268,0.04000000235177162,0.09500000235177161,377.40222140900795,188.10372971303366,229.45323187189646,2.006351612404301
s_wave,0.2,0.7853981634,0.0,0.0,0.04000000235177162,0.09500000235177161,372.5780664859011,185.82098401173138,226.5159231987469,2.0050376359129563
s_wave,0.2,0.7853981634,0.0,1.5707963268,0.04000000235177162,0.09500000235177161,365.14110505780894,181.95649224160377,222.00243618778725,2.0067495287443258
s_wave,0.2,0.7853981634,0.2,0.0,0.04000000235177162,0.09500000235177161,374.905334443145,187.1403668904563,227.92365810305384,2.00333760520304
s_wave,0.2,0.7853981634,0.2,1.5707963268,0.04000000235177162,0.09500000235177161,367.46837301505275,183.27587512032866,223.41017109209417,2.005001328046005
s_wave,0.2,0.7853981634,0.45,0.0,0.04000000235177162,0.09500000235177161,377.8144193896998,188.7895954888625,229.68332673343758,2.0012459818633848
s_wave,0.2,0.7853981634,0.45,1.5707963268,0.04000000235177162,0.09500000235177161,370.3774579616076,184.92510371873485,225.1698397224779,2.0028511571092036
s_wave,0.8,0.0,0.0,0.0,0.04000000235177162,0.09500000235177161,295.8542938793422,192.55198039202298,177.97342976486243,1.536490527269585
s_wave,0.8,0.0,0.0,1.5707963268,0.04000000235177162,0.09500000235177161,289.68953495408095,188.05607669890264,174.28703186245718,1.5404422980593393
s_wave,0.8,0.0,0.2,0.0,0.04000000235177162,0.09500000235177161,298.03239361658706,194.4476365594678,179.26281862258708,1.532712862392853
s_wave,0.8,0.0,0.2,1.5707963268,0.04000000235177162,0.09500000235177161,291.8676346913258,189.95173286634747,175.57642072018183,1.5365357835229
s_wave,0.8,0.0,0.45,0.0,0.04000000235177162,0.09500000235177161,300.7550182881431,196.81720676877381,180.87455469474287,1.5280931135328948
s_wave,0.8,0.0,0.45,1.5707963268,0.04000000235177162,0.09500000235177161,294.59025936288185,192.32130307565347,177.18815679233762,1.5317609367850362
s_wave,0.8,0.7853981634,0.0,0.0,0.04000000235177162,0.09500000235177161,291.09812949555635,190.3998698111244,175.07332966392713,1.5288777759371581
s_wave,0.8,0.7853981634,0.0,1.5707963268,0.04000000235177162,0.09500000235177161,284.9333705702952,185.9039661180041,171.3869317615219,1.5326911873920506
s_wave,0.8,0.7853981634,0.2,0.0,0.04000000235177162,0.09500000235177161,293.2762292328012,192.29552597856923,176.36271852165177,1.5251328794071162
s_wave,0.8,0.7853981634,0.2,1.5707963268,0.04000000235177162,0.09500000235177161,287.11147030753995,187.7996222854489,172.67632061924652,1.5288181457103278
