perturbation_family,level,dataset_name,dataset_version,method,seed_count,sample_count_per_seed,mean_psnr_gain_over_fixed_lowres,std_psnr_gain_over_fixed_lowres,ci95_half_width,ci_low,ci_high,mean_better_than_fixed_fraction,mean_method_psnr_lowres,mean_fixed_psnr_lowres,mean_guided_psnr_lowres,model_variant,evidence_scope,better_than_fixed_fraction
phase_mask_lateral_shift,1.0,Kodak-PCD0992,unrestricted public release,phase_only_stack,3,72,-15.673185255823228,0.3953684047950124,0.4474014676774478,-16.120586723500676,-15.22578378814578,0.0,9.3839971367011,25.05718239252433,26.99159783044102,standard_phase_only_training,phase_mask_engineering_public_natural_tolerance,
phase_mask_lateral_shift,1.0,UCID,1338 public citation subset,phase_only_stack,3,72,-11.435260336354704,0.7126455904668373,0.8064344020459435,-12.241694738400646,-10.62882593430876,0.0,9.43002155229868,20.86528188865339,23.168884635205547,standard_phase_only_training,phase_mask_engineering_public_natural_tolerance,
phase_mask_lateral_shift,2.0,Kodak-PCD0992,unrestricted public release,phase_only_stack,3,72,-15.86980563044382,1.0490927500340068,1.1871602040085565,-17.056965834452377,-14.682645426435265,0.0,9.187376762080506,25.05718239252433,26.99159783044102,standard_phase_only_training,phase_mask_engineering_public_natural_tolerance,
phase_mask_lateral_shift,2.0,UCID,1338 public citation subset,phase_only_stack,3,72,-11.817595705018546,1.2631715092189857,1.4294131253252846,-13.24700883034383,-10.38818257969326,0.0,9.047686183634845,20.86528188865339,23.168884635205547,standard_phase_only_training,phase_mask_engineering_public_natural_tolerance,
phase_mask_quantization,3.0,Kodak-PCD0992,unrestricted public release,phase_only_stack,3,72,-13.965412656065403,0.5524824054337287,0.6251926963794027,-14.590605352444806,-13.340219959686,0.0,11.091769736458923,25.05718239252433,26.99159783044102,standard_phase_only_training,phase_mask_engineering_public_natural_tolerance,
phase_mask_quantization,3.0,UCID,1338 public citation subset,phase_only_stack,3,72,-9.661758485191656,0.2550218811619256,0.2885844254066417,-9.950342910598298,-9.373174059785017,0.0,11.20352340346173,20.86528188865339,23.168884635205547,standard_phase_only_training,phase_mask_engineering_public_natural_tolerance,
phase_mask_quantization,4.0,Kodak-PCD0992,unrestricted public release,phase_only_stack,3,72,-11.454930926494486,1.2608437724176444,1.426779043166325,-12.881709969660813,-10.02815188332816,0.0,13.602251466029845,25.05718239252433,26.99159783044102,standard_phase_only_training,phase_mask_engineering_public_natural_tolerance,
phase_mask_quantization,4.0,UCID,1338 public citation subset,phase_only_stack,3,72,-7.091689674238029,1.1841133627317448,1.3399504106994435,-8.431640084937472,-5.751739263538585,0.0,13.773592214415356,20.86528188865339,23.168884635205547,standard_phase_only_training,phase_mask_engineering_public_natural_tolerance,
propagation_distance_error,-0.05,Kodak-PCD0992,unrestricted public release,phase_only_stack,3,72,-1.1142831599485594,0.1567911723031355,0.1774259140501137,-1.2917090739986732,-0.9368572458984455,0.1203703703703703,23.963461387319374,25.077744547267937,26.94481841716601,standard_phase_only_training,common_input_public_natural_tolerance,
propagation_distance_error,-0.05,Kodak-PCD0992,unrestricted public release,reference_psf_deconvolution,3,72,1.867073869898081,0.1668482182764608,0.1888065329220192,1.678267336976062,2.0558804028201005,1.0,26.94481841716601,25.077744547267937,26.94481841716601,standard_phase_only_training,common_input_public_natural_tolerance,
propagation_distance_error,-0.05,Kodak-PCD0992,unrestricted public release,spectral_frontend,3,72,-1.4116831179787523,0.1518224182585851,0.1718032395392036,-1.583486357517956,-1.2398798784395486,0.1296296296296296,23.666061429289183,25.077744547267937,26.94481841716601,standard_phase_only_training,common_input_public_natural_tolerance,
propagation_distance_error,-0.05,UCID,1338 public citation subset,phase_only_stack,3,72,1.641460578788287,0.3037171520046876,0.3436883117561292,1.297772267032158,1.985148890544416,0.8101851851851851,22.53345772059902,20.891997141810734,23.11519391542932,standard_phase_only_training,common_input_public_natural_tolerance,
propagation_distance_error,-0.05,UCID,1338 public citation subset,reference_psf_deconvolution,3,72,2.223196773618579,0.2300847278167841,0.2603653799012265,1.9628313937173525,2.483562153519806,1.0,23.11519391542932,20.891997141810734,23.11519391542932,standard_phase_only_training,common_input_public_natural_tolerance,
propagation_distance_error,-0.05,UCID,1338 public citation subset,spectral_frontend,3,72,1.107269093254379,0.0425734716990992,0.0481764184777912,1.0590926747765876,1.1554455117321702,0.7870370370370371,21.99926623506512,20.891997141810734,23.11519391542932,standard_phase_only_training,common_input_public_natural_tolerance,
propagation_distance_error,0.0,Kodak-PCD0992,unrestricted public release,phase_only_stack,3,72,-1.1083977770498856,0.173488815128023,0.1963210756664845,-1.3047188527163702,-0.9120767013834012,0.1203703703703703,23.948784615474448,25.05718239252433,26.99159783044102,standard_phase_only_training,common_input_public_natural_tolerance,
propagation_distance_error,0.0,Kodak-PCD0992,unrestricted public release,reference_psf_deconvolution,3,72,1.9344154379166936,0.1812619635907672,0.2051172212070204,1.729298216709673,2.139532659123714,1.0,26.99159783044102,25.05718239252433,26.99159783044102,standard_phase_only_training,common_input_public_natural_tolerance,
propagation_distance_error,0.0,Kodak-PCD0992,unrestricted public release,spectral_frontend,3,72,-1.4326651257513507,0.1696432818455528,0.1919694451018933,-1.624634570853244,-1.2406956806494571,0.1342592592592592,23.62451726677298,25.05718239252433,26.99159783044102,standard_phase_only_training,common_input_public_natural_tolerance,
propagation_distance_error,0.0,UCID,1338 public citation subset,phase_only_stack,3,72,1.6409028192375474,0.3010928632594493,0.3407186494816797,1.3001841697558678,1.981621468719227,0.8148148148148148,22.50618470789093,20.86528188865339,23.168884635205547,standard_phase_only_training,common_input_public_natural_tolerance,
propagation_distance_error,0.0,UCID,1338 public citation subset,reference_psf_deconvolution,3,72,2.303602746552164,0.2497676014281402,0.2826386481619926,2.0209640983901718,2.5862413947141563,1.0,23.168884635205547,20.86528188865339,23.168884635205547,standard_phase_only_training,common_input_public_natural_tolerance,
propagation_distance_error,0.0,UCID,1338 public citation subset,spectral_frontend,3,72,1.1010162970788246,0.0254837994241032,0.0288376337766616,1.072178663302163,1.1298539308554862,0.7777777777777777,21.96629818573221,20.86528188865339,23.168884635205547,standard_phase_only_training,common_input_public_natural_tolerance,
propagation_distance_error,0.05,Kodak-PCD0992,unrestricted public release,phase_only_stack,3,72,-1.1003397402778148,0.1692747607891016,0.1915524242688508,-1.2918921645466657,-0.908787316008964,0.125,23.93382367475729,25.034163415035103,27.034174606338965,standard_phase_only_training,common_input_public_natural_tolerance,
propagation_distance_error,0.05,Kodak-PCD0992,unrestricted public release,reference_psf_deconvolution,3,72,2.000011191303864,0.201296958628996,0.2277889523729475,1.7722222389309166,2.227800143676812,1.0,27.034174606338965,25.034163415035103,27.034174606338965,standard_phase_only_training,common_input_public_natural_tolerance,
propagation_distance_error,0.05,Kodak-PCD0992,unrestricted public release,spectral_frontend,3,72,-1.4305167307323223,0.1781650710149068,0.2016127573528646,-1.632129488085187,-1.2289039733794576,0.1296296296296296,23.603646684302777,25.034163415035103,27.034174606338965,standard_phase_only_training,common_input_public_natural_tolerance,
propagation_distance_error,0.05,UCID,1338 public citation subset,phase_only_stack,3,72,1.6442178913113807,0.3046877088815143,0.3447866002533647,1.299431291058016,1.9890044915647451,0.8194444444444443,22.476361687640125,20.832143796328744,23.21712245531155,standard_phase_only_training,common_input_public_natural_tolerance,
