perturbation_family,level,dataset_name,dataset_version,method,seed_count,sample_count_per_seed,mean_psnr_gain_over_fixed_lowres,std_psnr_gain_over_fixed_lowres,ci95_half_width,ci_low,ci_high,mean_better_than_fixed_fraction,mean_method_psnr_lowres,mean_fixed_psnr_lowres,mean_guided_psnr_lowres
phase_mask_lateral_shift,1.0,Kodak-PCD0992,unrestricted public release,phase_only_stack,3,72,-15.673185255823228,0.39536840479501245,0.4474014676774478,-16.120586723500676,-15.22578378814578,0.0,9.3839971367011,25.05718239252433,26.99159783044102
phase_mask_lateral_shift,1.0,UCID,1338 public citation subset,phase_only_stack,3,72,-11.435260336354704,0.7126455904668373,0.8064344020459435,-12.241694738400646,-10.628825934308761,0.0,9.430021552298681,20.86528188865339,23.168884635205547
phase_mask_lateral_shift,2.0,Kodak-PCD0992,unrestricted public release,phase_only_stack,3,72,-15.869805630443821,1.0490927500340068,1.1871602040085565,-17.056965834452377,-14.682645426435265,0.0,9.187376762080506,25.05718239252433,26.99159783044102
phase_mask_lateral_shift,2.0,UCID,1338 public citation subset,phase_only_stack,3,72,-11.817595705018546,1.2631715092189857,1.4294131253252846,-13.24700883034383,-10.388182579693261,0.0,9.047686183634843,20.86528188865339,23.168884635205547
phase_mask_quantization,3.0,Kodak-PCD0992,unrestricted public release,phase_only_stack,3,72,-13.965412656065403,0.5524824054337287,0.6251926963794027,-14.590605352444806,-13.340219959686001,0.0,11.091769736458923,25.05718239252433,26.99159783044102
phase_mask_quantization,3.0,UCID,1338 public citation subset,phase_only_stack,3,72,-9.661758485191656,0.25502188116192565,0.28858442540664175,-9.950342910598298,-9.373174059785015,0.0,11.20352340346173,20.86528188865339,23.168884635205547
phase_mask_quantization,4.0,Kodak-PCD0992,unrestricted public release,phase_only_stack,3,72,-11.454930926494486,1.2608437724176444,1.426779043166325,-12.881709969660811,-10.02815188332816,0.0,13.602251466029843,25.05718239252433,26.99159783044102
phase_mask_quantization,4.0,UCID,1338 public citation subset,phase_only_stack,3,72,-7.091689674238029,1.1841133627317448,1.3399504106994435,-8.431640084937472,-5.751739263538585,0.0,13.773592214415357,20.86528188865339,23.168884635205547
propagation_distance_error,-0.05,Kodak-PCD0992,unrestricted public release,phase_only_stack,3,72,-1.1142831599485594,0.15679117230313558,0.17742591405011374,-1.2917090739986732,-0.9368572458984457,0.12037037037037036,23.963461387319374,25.077744547267937,26.944818417166015
propagation_distance_error,-0.05,Kodak-PCD0992,unrestricted public release,reference_psf_deconvolution,3,72,1.8670738698980813,0.1668482182764608,0.1888065329220192,1.6782673369760621,2.0558804028201005,1.0,26.944818417166015,25.077744547267937,26.944818417166015
propagation_distance_error,-0.05,Kodak-PCD0992,unrestricted public release,spectral_frontend,3,72,-1.4116831179787523,0.15182241825858517,0.17180323953920365,-1.583486357517956,-1.2398798784395486,0.12962962962962962,23.666061429289186,25.077744547267937,26.944818417166015
propagation_distance_error,-0.05,UCID,1338 public citation subset,phase_only_stack,3,72,1.641460578788287,0.3037171520046876,0.34368831175612924,1.2977722670321579,1.9851488905444161,0.8101851851851851,22.53345772059902,20.891997141810734,23.115193915429316
propagation_distance_error,-0.05,UCID,1338 public citation subset,reference_psf_deconvolution,3,72,2.223196773618579,0.23008472781678416,0.26036537990122655,1.9628313937173525,2.483562153519806,1.0,23.115193915429316,20.891997141810734,23.115193915429316
propagation_distance_error,-0.05,UCID,1338 public citation subset,spectral_frontend,3,72,1.107269093254379,0.042573471699099266,0.048176418477791284,1.0590926747765876,1.1554455117321702,0.7870370370370371,21.999266235065118,20.891997141810734,23.115193915429316
propagation_distance_error,0.0,Kodak-PCD0992,unrestricted public release,phase_only_stack,3,72,-1.1083977770498856,0.17348881512802303,0.19632107566648452,-1.3047188527163702,-0.9120767013834011,0.12037037037037036,23.948784615474448,25.05718239252433,26.99159783044102
propagation_distance_error,0.0,Kodak-PCD0992,unrestricted public release,reference_psf_deconvolution,3,72,1.9344154379166936,0.18126196359076724,0.20511722120702044,1.729298216709673,2.139532659123714,1.0,26.99159783044102,25.05718239252433,26.99159783044102
propagation_distance_error,0.0,Kodak-PCD0992,unrestricted public release,spectral_frontend,3,72,-1.4326651257513507,0.16964328184555283,0.19196944510189332,-1.6246345708532441,-1.2406956806494573,0.13425925925925927,23.62451726677298,25.05718239252433,26.99159783044102
propagation_distance_error,0.0,UCID,1338 public citation subset,phase_only_stack,3,72,1.6409028192375474,0.3010928632594493,0.34071864948167974,1.3001841697558678,1.981621468719227,0.8148148148148148,22.506184707890935,20.86528188865339,23.168884635205547
propagation_distance_error,0.0,UCID,1338 public citation subset,reference_psf_deconvolution,3,72,2.303602746552164,0.24976760142814028,0.2826386481619926,2.0209640983901713,2.5862413947141563,1.0,23.168884635205547,20.86528188865339,23.168884635205547
propagation_distance_error,0.0,UCID,1338 public citation subset,spectral_frontend,3,72,1.1010162970788246,0.025483799424103275,0.028837633776661695,1.072178663302163,1.1298539308554862,0.7777777777777777,21.96629818573221,20.86528188865339,23.168884635205547
propagation_distance_error,0.05,Kodak-PCD0992,unrestricted public release,phase_only_stack,3,72,-1.1003397402778148,0.16927476078910167,0.1915524242688508,-1.2918921645466657,-0.908787316008964,0.125,23.93382367475729,25.034163415035106,27.034174606338965
propagation_distance_error,0.05,Kodak-PCD0992,unrestricted public release,reference_psf_deconvolution,3,72,2.000011191303864,0.20129695862899608,0.22778895237294755,1.7722222389309166,2.2278001436768116,1.0,27.034174606338965,25.034163415035106,27.034174606338965
propagation_distance_error,0.05,Kodak-PCD0992,unrestricted public release,spectral_frontend,3,72,-1.4305167307323223,0.17816507101490683,0.20161275735286469,-1.632129488085187,-1.2289039733794576,0.12962962962962962,23.603646684302777,25.034163415035106,27.034174606338965
propagation_distance_error,0.05,UCID,1338 public citation subset,phase_only_stack,3,72,1.6442178913113807,0.3046877088815143,0.3447866002533647,1.2994312910580161,1.9890044915647453,0.8194444444444443,22.476361687640125,20.832143796328744,23.21712245531155
propagation_distance_error,0.05,UCID,1338 public citation subset,reference_psf_deconvolution,3,72,2.3849786589828046,0.26556204489783175,0.3005117434922889,2.0844669154905158,2.6854904024750934,1.0,23.21712245531155,20.832143796328744,23.21712245531155
propagation_distance_error,0.05,UCID,1338 public citation subset,spectral_frontend,3,72,1.0758192077749256,0.03243539351660995,0.036704103029048946,1.0391151047458766,1.1125233108039745,0.7592592592592592,21.907963004103674,20.832143796328744,23.21712245531155
reference_channel_intensity_noise,0.01,Kodak-PCD0992,unrestricted public release,phase_only_stack,3,72,-1.1789379722981408,0.15872900672357015,0.17961878012970808,-1.3585567524278488,-0.9993191921684327,0.11574074074074074,23.878244420226185,25.05718239252433,26.99159783044102
reference_channel_intensity_noise,0.01,Kodak-PCD0992,unrestricted public release,reference_psf_deconvolution,3,72,1.9344154379166936,0.18126196359076724,0.20511722120702044,1.729298216709673,2.139532659123714,1.0,26.99159783044102,25.05718239252433,26.99159783044102
reference_channel_intensity_noise,0.01,Kodak-PCD0992,unrestricted public release,spectral_frontend,3,72,-1.4326651257513507,0.16964328184555283,0.19196944510189332,-1.6246345708532441,-1.2406956806494573,0.13425925925925927,23.62451726677298,25.05718239252433,26.99159783044102
reference_channel_intensity_noise,0.01,Kodak-PCD0992,unrestricted public release,trainable_surrogate_ridge,3,72,-2.35551276952807,0.10092590912226786,0.11420841756790015,-2.4697211870959705,-2.24130435196017,0.013888888888888888,22.701669622996263,25.05718239252433,26.99159783044102
reference_channel_intensity_noise,0.01,UCID,1338 public citation subset,phase_only_stack,3,72,1.6014229295307236,0.29220752360553404,0.33066394112926245,1.2707589884014612,1.932086870659986,0.8009259259259259,22.466704818184112,20.86528188865339,23.168884635205547
reference_channel_intensity_noise,0.01,UCID,1338 public citation subset,reference_psf_deconvolution,3,72,2.303602746552164,0.24976760142814028,0.2826386481619926,2.0209640983901713,2.5862413947141563,1.0,23.168884635205547,20.86528188865339,23.168884635205547
reference_channel_intensity_noise,0.01,UCID,1338 public citation subset,spectral_frontend,3,72,1.1010162970788246,0.025483799424103275,0.028837633776661695,1.072178663302163,1.1298539308554862,0.7777777777777777,21.96629818573221,20.86528188865339,23.168884635205547
reference_channel_intensity_noise,0.01,UCID,1338 public citation subset,trainable_surrogate_ridge,3,72,-0.7320547260191511,0.12555435754752103,0.1420781305708639,-0.874132856590015,-0.5899765954482872,0.33796296296296297,20.13322716263424,20.86528188865339,23.168884635205547
reference_channel_intensity_noise,0.02,Kodak-PCD0992,unrestricted public release,phase_only_stack,3,72,-1.3758593049948535,0.14908335722589444,0.16870370019508407,-1.5445630051899375,-1.2071556047997696,0.11574074074074074,23.681323087529478,25.05718239252433,26.99159783044102
reference_channel_intensity_noise,0.02,Kodak-PCD0992,unrestricted public release,reference_psf_deconvolution,3,72,1.9344154379166936,0.18126196359076724,0.20511722120702044,1.729298216709673,2.139532659123714,1.0,26.99159783044102,25.05718239252433,26.99159783044102
reference_channel_intensity_noise,0.02,Kodak-PCD0992,unrestricted public release,spectral_frontend,3,72,-1.4326651257513507,0.16964328184555283,0.19196944510189332,-1.6246345708532441,-1.2406956806494573,0.13425925925925927,23.62451726677298,25.05718239252433,26.99159783044102
reference_channel_intensity_noise,0.02,Kodak-PCD0992,unrestricted public release,trainable_surrogate_ridge,3,72,-2.35551276952807,0.10092590912226786,0.11420841756790015,-2.4697211870959705,-2.24130435196017,0.013888888888888888,22.701669622996263,25.05718239252433,26.99159783044102
reference_channel_intensity_noise,0.02,UCID,1338 public citation subset,phase_only_stack,3,72,1.464292657892706,0.25392734734509276,0.287345843794822,1.176946814097884,1.751638501687528,0.7962962962962963,22.329574546546095,20.86528188865339,23.168884635205547
reference_channel_intensity_noise,0.02,UCID,1338 public citation subset,reference_psf_deconvolution,3,72,2.303602746552164,0.24976760142814028,0.2826386481619926,2.0209640983901713,2.5862413947141563,1.0,23.168884635205547,20.86528188865339,23.168884635205547
reference_channel_intensity_noise,0.02,UCID,1338 public citation subset,spectral_frontend,3,72,1.1010162970788246,0.025483799424103275,0.028837633776661695,1.072178663302163,1.1298539308554862,0.7777777777777777,21.96629818573221,20.86528188865339,23.168884635205547
reference_channel_intensity_noise,0.02,UCID,1338 public citation subset,trainable_surrogate_ridge,3,72,-0.7320547260191511,0.12555435754752103,0.1420781305708639,-0.874132856590015,-0.5899765954482872,0.33796296296296297,20.13322716263424,20.86528188865339,23.168884635205547
reference_channel_misregistration,0.0,Kodak-PCD0992,unrestricted public release,phase_only_stack,3,72,-1.1083977770498856,0.17348881512802303,0.19632107566648452,-1.3047188527163702,-0.9120767013834011,0.12037037037037036,23.948784615474448,25.05718239252433,26.99159783044102
reference_channel_misregistration,0.0,Kodak-PCD0992,unrestricted public release,reference_psf_deconvolution,3,72,1.9344154379166936,0.18126196359076724,0.20511722120702044,1.729298216709673,2.139532659123714,1.0,26.99159783044102,25.05718239252433,26.99159783044102
reference_channel_misregistration,0.0,Kodak-PCD0992,unrestricted public release,spectral_frontend,3,72,-1.4326651257513507,0.16964328184555283,0.19196944510189332,-1.6246345708532441,-1.2406956806494573,0.13425925925925927,23.62451726677298,25.05718239252433,26.99159783044102
reference_channel_misregistration,0.0,Kodak-PCD0992,unrestricted public release,trainable_surrogate_ridge,3,72,-2.35551276952807,0.10092590912226786,0.11420841756790015,-2.4697211870959705,-2.24130435196017,0.013888888888888888,22.701669622996263,25.05718239252433,26.99159783044102
reference_channel_misregistration,0.0,UCID,1338 public citation subset,phase_only_stack,3,72,1.6409028192375474,0.3010928632594493,0.34071864948167974,1.3001841697558678,1.981621468719227,0.8148148148148148,22.506184707890935,20.86528188865339,23.168884635205547
