seed,case_id,object_id,defocus,astig_x,coma_x,fixed_psnr,guided_psnr,fixed_ssim,guided_ssim,psnr_gain,ssim_gain
7,0,object_00,0.375286399814001,0.794427601939151,0.44109710439230976,13.560833677482925,15.575535928135057,0.5978431717567376,0.7653783303932414,2.0147022506521317,0.1675351586365038
7,0,object_01,0.375286399814001,0.794427601939151,0.44109710439230976,10.288631735842138,11.187301640470553,0.44282547176179654,0.5682535361822065,0.8986699046284148,0.12542806442041
7,0,object_02,0.375286399814001,0.794427601939151,0.44109710439230976,14.121681459789512,15.514062186723605,0.7448501763729555,0.8253324870787014,1.3923807269340926,0.08048231070574596
7,0,object_03,0.375286399814001,0.794427601939151,0.44109710439230976,10.67184730773988,12.793290172021194,0.568449193161649,0.7561420148519573,2.121442864281315,0.18769282169030832
7,0,object_04,0.375286399814001,0.794427601939151,0.44109710439230976,13.868260607092942,14.897110748852363,0.7329057407895614,0.7947640021462097,1.0288501417594205,0.06185826135664829
7,0,object_05,0.375286399814001,0.794427601939151,0.44109710439230976,14.246351240678614,15.649527315646882,0.870177751476297,0.9095878308577717,1.4031760749682682,0.03941007938147478
7,1,object_00,0.03160535578408252,-0.05723569342036572,0.3331537616727718,14.023998877234767,16.20846992314165,0.6523318476861748,0.8046046150806123,2.184471045906882,0.1522727673944375
7,1,object_01,0.03160535578408252,-0.05723569342036572,0.3331537616727718,10.401497973443519,11.259055050171048,0.46214681349965947,0.5767392887699313,0.8575570767275291,0.11459247527027183
7,1,object_02,0.03160535578408252,-0.05723569342036572,0.3331537616727718,14.349245916141609,15.711567031155369,0.7632848878412206,0.8342806512075905,1.36232111501376,0.07099576336636992
7,1,object_03,0.03160535578408252,-0.05723569342036572,0.3331537616727718,10.918096082817812,13.180835158074956,0.5981786030228413,0.7810902694049248,2.2627390752571443,0.18291166638208345
7,1,object_04,0.03160535578408252,-0.05723569342036572,0.3331537616727718,14.170623184710244,15.072185337452296,0.7518804813540186,0.8046848606615227,0.9015621527420521,0.052804379307504035
7,1,object_05,0.03160535578408252,-0.05723569342036572,0.3331537616727718,14.52622411919971,15.59280607965302,0.879979485269788,0.9084866481159157,1.066581960453309,0.028507162846127754
7,2,object_00,-1.0158698639139128,0.11038261760919332,0.38632515249682564,14.484476664779741,16.82678169492995,0.702978167986101,0.8382772595933646,2.3423050301502073,0.1352990916072636
7,2,object_01,-1.0158698639139128,0.11038261760919332,0.38632515249682564,10.492013612464799,11.763126895343479,0.4883891946166288,0.6337315475075183,1.2711132828786802,0.14534235289088948
7,2,object_02,-1.0158698639139128,0.11038261760919332,0.38632515249682564,14.469930235507714,15.89770985175295,0.7767511425238596,0.8443710417683123,1.4277796162452354,0.06761989924445277
7,2,object_03,-1.0158698639139128,0.11038261760919332,0.38632515249682564,11.107188879038308,13.7818814964349,0.6285887990590414,0.8153003279561649,2.674692617396593,0.1867115288971235
7,2,object_04,-1.0158698639139128,0.11038261760919332,0.38632515249682564,14.804920950464556,16.8201497846902,0.7941287343167692,0.8799569429595354,2.0152288342256455,0.08582820864276619
7,2,object_05,-1.0158698639139128,0.11038261760919332,0.38632515249682564,14.667733070885284,16.28018450417722,0.886682337827127,0.924588201277662,1.6124514332919375,0.03790586345053493
7,3,object_00,-1.4151580751828279,-0.6462218599614407,0.5587787487659994,14.486881772042866,16.44722918346001,0.7135145326636332,0.8248732418206319,1.9603474114171444,0.11135870915699875
7,3,object_01,-1.4151580751828279,-0.6462218599614407,0.5587787487659994,10.395998178947146,11.881214469103845,0.4828793892144304,0.64742982463137,1.4852162901566999,0.1645504354169396
7,3,object_02,-1.4151580751828279,-0.6462218599614407,0.5587787487659994,14.249124213951651,15.85735781887668,0.7652382088487372,0.8424991121188184,1.6082336049250294,0.07726090327008128
7,3,object_03,-1.4151580751828279,-0.6462218599614407,0.5587787487659994,11.04351398319351,13.578271979345844,0.6275813174605883,0.806365159140556,2.5347579961523348,0.17878384167996764
7,3,object_04,-1.4151580751828279,-0.6462218599614407,0.5587787487659994,14.87147568193376,17.128153366094228,0.7980695764996261,0.8909424374062216,2.2566776841604685,0.09287286090659552
7,3,object_05,-1.4151580751828279,-0.6462218599614407,0.5587787487659994,14.488132719632862,16.30023794982765,0.8809538507348323,0.9251377947982312,1.8121052301947884,0.04418394406339887
7,4,object_00,1.0069425516355661,-0.6264774941439684,-0.07117021621543473,13.331623687532936,14.200668450968433,0.5679671805100163,0.6635742972033081,0.8690447634354967,0.0956071166932918
7,4,object_01,1.0069425516355661,-0.6264774941439684,-0.07117021621543473,10.067803501397128,10.819353150665922,0.3997443335605936,0.5218305858345087,0.7515496492687941,0.12208625227391512
7,4,object_02,1.0069425516355661,-0.6264774941439684,-0.07117021621543473,13.582872059642387,14.576222403716038,0.7014293452398657,0.7772773073215372,0.9933503440736509,0.07584796208167155
7,4,object_03,1.0069425516355661,-0.6264774941439684,-0.07117021621543473,10.30368437318005,11.042954704897866,0.5133668443695796,0.6097472011394094,0.7392703317178171,0.09638035676982981
7,4,object_04,1.0069425516355661,-0.6264774941439684,-0.07117021621543473,13.107387325128233,14.494457679555623,0.6635182731747552,0.7715782825183476,1.3870703544273901,0.10806000934359239
7,4,object_05,1.0069425516355661,-0.6264774941439684,-0.07117021621543473,13.71236691783357,14.91633291636585,0.8480473621005836,0.8917235189573955,1.2039659985322793,0.04367615685681192
7,5,object_00,0.7987036126911153,0.10899793890873677,-0.4196311839426118,13.486265558127927,15.417000113062185,0.5886827794093888,0.7549518606764104,1.9307345549342578,0.16626908126702156
7,5,object_01,0.7987036126911153,0.10899793890873677,-0.4196311839426118,10.194172122035251,11.114091374525334,0.4224519824342882,0.5583221646607002,0.9199192524900823,0.13587018222641195
7,5,object_02,0.7987036126911153,0.10899793890873677,-0.4196311839426118,13.890759118341238,15.290298356359987,0.7254992131248257,0.81372403952357,1.3995392380187486,0.0882248263987443
7,5,object_03,0.7987036126911153,0.10899793890873677,-0.4196311839426118,10.586486330177534,12.7042488960275,0.5542199334785445,0.7502455037622895,2.117762565849967,0.196025570283745
7,5,object_04,0.7987036126911153,0.10899793890873677,-0.4196311839426118,13.47790865426894,14.742832659103673,0.6975453616116205,0.7859360713476121,1.2649240048347323,0.08839070973599161
7,5,object_05,0.7987036126911153,0.10899793890873677,-0.4196311839426118,13.91163337919705,15.41695769803905,0.8560822326323321,0.9040377065964605,1.5053243188419998,0.04795547396412847
7,6,object_00,-0.010764518610296037,0.012936702840577352,0.021931333702187805,13.868045364379217,14.782877916828053,0.6324793921498919,0.7164410387185488,0.9148325524488357,0.0839616465686569
