path_rank,short_range_rank,c7_rank,path_mode,k_b_label,m_label,k_t_label,ac1_pattern,bc1_pattern,ac2_pattern,bc2_pattern,ac7_first_pattern,bc7_first_pattern,ac7_second_pattern,bc7_second_pattern,ac7_second_conjugated,bc7_second_conjugated,overall_rmse_meV,gamma_end_max_abs_delta_meV,k_b_window_rmse_meV,m_window_rmse_meV,k_t_window_rmse_meV,rowwise_sum_rmse_meV,valley_window_gap_meV
2,1,1,exclusive_150,K_2b1+b2,M_b2,K_-2b1-b2,cyc,cyc,anti,anti,cyc,cyc,anti,anti,False,False,8.366681078827218,0.03506206761572983,14.95024009656701,3.191023459139489,15.067656909621446,14.49151671925393,0.11741681305443663
1,1,1,exclusive_150,K_-2b1-b2,M_b2,K_2b1+b2,cyc,cyc,anti,anti,cyc,cyc,anti,anti,False,False,8.37238546325572,0.03618005930289314,15.056229196529134,3.286280468694131,14.95142467024575,14.501397002909997,0.10480452628338455
3,1,1,duplicated_150,K_2b1+b2,M_b2,K_-2b1-b2,cyc,cyc,anti,anti,cyc,cyc,anti,anti,False,False,8.384741569087636,7.105427357601002e-15,14.985205464085105,3.2473975802979513,15.074898514018235,14.522798405994575,0.0896930499331301
4,1,1,duplicated_150,K_-2b1-b2,M_b2,K_2b1+b2,cyc,cyc,anti,anti,cyc,cyc,anti,anti,False,False,8.384741569087636,7.105427357601002e-15,15.074898514018226,3.2473975802979513,14.985205464085114,14.522798405994575,0.08969304993311233
2,2,1,exclusive_150,K_2b1+b2,M_b2,K_-2b1-b2,cyc,cyc,cyc,anti,cyc,cyc,anti,anti,False,False,8.393646662419048,0.02370723468364133,15.051152297284819,3.1724694893160374,15.095053764554143,14.538222480090724,0.043901467269323646
1,2,1,exclusive_150,K_-2b1-b2,M_b2,K_2b1+b2,cyc,cyc,cyc,anti,cyc,cyc,anti,anti,False,False,8.400837136408578,0.024542882876669836,15.090872869377913,3.306261052453726,15.04481973829498,14.550676746371092,0.04605313108293352
2,1,2,exclusive_150,K_2b1+b2,M_b2,K_-2b1-b2,cyc,cyc,anti,anti,cyc,cyc,anti,anti,False,True,8.406284905067464,0.03895435255358137,14.998490020459235,3.7398317932768124,15.066670267199765,14.560112558476165,0.06818024674053014
2,1,3,exclusive_150,K_2b1+b2,M_b2,K_-2b1-b2,cyc,cyc,anti,anti,cyc,cyc,anti,anti,True,False,8.411505923151347,0.03909335866789476,14.923353907997747,3.6317418524145926,15.04972840278601,14.569155627064687,0.1263744947882639
1,1,2,exclusive_150,K_-2b1-b2,M_b2,K_2b1+b2,cyc,cyc,anti,anti,cyc,cyc,anti,anti,False,True,8.41233500171717,0.04007995201125425,15.056736273678265,3.8144646189389446,14.99994924931926,14.570591633264156,0.0567870243590054
3,2,1,duplicated_150,K_2b1+b2,M_b2,K_-2b1-b2,cyc,cyc,cyc,anti,cyc,cyc,anti,anti,False,False,8.412947381289369,7.105427357601002e-15,15.085626316277724,3.2473973382109893,15.099600948778383,14.571652305796722,0.013974632500659112
4,2,1,duplicated_150,K_-2b1-b2,M_b2,K_2b1+b2,cyc,cyc,cyc,anti,cyc,cyc,anti,anti,False,False,8.412947381289369,7.105427357601002e-15,15.099600948778374,3.2473973382109893,15.085626316277732,14.571652305796723,0.013974632500641349
1,1,3,exclusive_150,K_-2b1-b2,M_b2,K_2b1+b2,cyc,cyc,anti,anti,cyc,cyc,anti,anti,True,False,8.41891807002581,0.04032017081884476,15.035701489560875,3.7435283208289376,14.92608272707821,14.581993842044419,0.10961876248266478
3,1,2,duplicated_150,K_2b1+b2,M_b2,K_-2b1-b2,cyc,cyc,anti,anti,cyc,cyc,anti,anti,False,True,8.424255974458328,1.7763568394002505e-14,15.025421661164762,3.7812418845811497,15.074898533601434,14.591239363727489,0.04947687243667254
4,1,2,duplicated_150,K_-2b1-b2,M_b2,K_2b1+b2,cyc,cyc,anti,anti,cyc,cyc,anti,anti,False,True,8.424255974458328,1.7763568394002505e-14,15.074898533601427,3.7812418845811497,15.025421661164769,14.591239363727487,0.049476872436658326
2,2,2,exclusive_150,K_2b1+b2,M_b2,K_-2b1-b2,cyc,cyc,cyc,anti,cyc,cyc,anti,anti,False,True,8.42714025528101,0.027196096108419,15.124234664800321,3.7207832857724332,15.094053845632686,14.596235084655667,0.03018081916763471
1,1,4,exclusive_150,K_-2b1-b2,M_b2,K_2b1+b2,cyc,cyc,anti,anti,anti,cyc,anti,anti,False,False,8.427823833703368,0.017771313207617823,15.054313400858634,1.780950065935729,14.957602190921861,14.59741907721415,0.09671120993677285
3,1,3,duplicated_150,K_2b1+b2,M_b2,K_-2b1-b2,cyc,cyc,anti,anti,cyc,cyc,anti,anti,True,False,8.429842431005167,7.105427357601002e-15,14.958741771864966,3.6959726135742765,15.057214274897795,14.600915390300887,0.09847250303282884
4,1,3,duplicated_150,K_-2b1-b2,M_b2,K_2b1+b2,cyc,cyc,anti,anti,cyc,cyc,anti,anti,True,False,8.429842431005168,7.105427357601002e-15,15.057214274897786,3.6959726135742765,14.958741771864975,14.600915390300889,0.09847250303281108
2,2,3,exclusive_150,K_2b1+b2,M_b2,K_-2b1-b2,cyc,cyc,cyc,anti,cyc,cyc,anti,anti,True,False,8.430837886961529,0.027067244578308447,15.015809474085572,3.614245264693459,15.091398461139164,14.602639570594002,0.0755889870535924
2,1,4,exclusive_150,K_2b1+b2,M_b2,K_-2b1-b2,cyc,cyc,anti,anti,anti,cyc,anti,anti,False,False,8.433750695365804,0.017404988429468915,14.952232126772262,1.6469883960324672,15.069010450774561,14.60768470274292,0.11677832400229882
