path_rank,config_rank,path_mode,k_b_label,m_label,k_t_label,ac1_pattern,bc1_pattern,ac2_pattern,bc2_pattern,ac7_first_pattern,bc7_first_pattern,ac7_second_pattern,bc7_second_pattern,ac7_second_conjugated,bc7_second_conjugated,overall_rmse_meV,gamma_end_max_abs_delta_meV,k_b_window_rmse_meV,m_window_rmse_meV,k_t_window_rmse_meV,rowwise_sum_rmse_meV,valley_window_gap_meV
3,406,duplicated_150,K_2b1+b2,M_b2,K_-2b1-b2,const,const,const,cyc,const,anti,const,anti,False,True,11.78552039748212,15.828236969416842,16.478276214845295,9.033587340541837,16.21061604401642,20.41312012207838,0.2676601708288757
3,408,duplicated_150,K_2b1+b2,M_b2,K_-2b1-b2,const,const,const,cyc,const,anti,const,anti,True,True,11.802862677039576,15.75964645395048,16.405564607083264,9.161319103868522,16.286490109027703,20.443157831390955,0.1190744980555607
3,687,duplicated_150,K_2b1+b2,M_b2,K_-2b1-b2,const,const,const,anti,const,cyc,const,const,True,False,11.817182295399627,8.842860520666662,16.069286705228187,11.03950884098464,17.297580717502704,20.467960137935563,1.2282940122745174
3,730,duplicated_150,K_2b1+b2,M_b2,K_-2b1-b2,const,const,const,anti,const,anti,const,anti,False,True,11.823666682096295,15.828236969416842,16.893368186221938,9.033587785965679,16.47828276948385,20.47919142515012,0.4150854167380871
3,405,duplicated_150,K_2b1+b2,M_b2,K_-2b1-b2,const,const,const,cyc,const,anti,const,anti,False,False,11.82538566741591,15.82823696941685,16.478276831503038,9.249511634508547,16.21061597372983,20.482168795061156,0.26766085777320825
3,732,duplicated_150,K_2b1+b2,M_b2,K_-2b1-b2,const,const,const,anti,const,anti,const,anti,True,True,11.827188813675068,15.75964645395048,16.80863231059608,9.16131954900668,16.563585166703817,20.485291935995498,0.24504714389226478
3,407,duplicated_150,K_2b1+b2,M_b2,K_-2b1-b2,const,const,const,cyc,const,anti,const,anti,True,False,11.840319105265964,15.759646453950488,16.40556526020286,9.376888388338973,16.286490036204412,20.50803426814912,0.11907522399844694
3,688,duplicated_150,K_2b1+b2,M_b2,K_-2b1-b2,const,const,const,anti,const,cyc,const,const,True,True,11.854663263395262,8.842860520666662,16.06928671880904,11.160344728173584,17.297580717502896,20.532879078820866,1.2282939986938572
3,729,duplicated_150,K_2b1+b2,M_b2,K_-2b1-b2,const,const,const,anti,const,anti,const,anti,False,False,11.86123159835342,15.82823696941685,16.893369065071184,9.249512084258804,16.478282702613217,20.544255768689524,0.4150863624579664
3,731,duplicated_150,K_2b1+b2,M_b2,K_-2b1-b2,const,const,const,anti,const,anti,const,anti,True,False,11.862824194458032,15.759646453950488,16.808633222468647,9.376888837895523,16.56358509752819,20.54701422605865,0.2450481249404568
