model,valley,pairing,barrier_Z,eta_meV,bias_meV,conductance_generalized_btk,andreev_component,normal_reflection_component
baseline,K_B,s_wave,0.0,0.05,-50.83333333333333,1.0069061156328842,0.006906115632884668,0.0
baseline,K_B,s_wave,0.0,0.05,-50.0,1.0070789683133898,0.007078968313388976,0.0
baseline,K_B,s_wave,0.0,0.05,-49.16666666666666,1.007310386800615,0.007310386800614509,0.0
baseline,K_B,s_wave,0.0,0.05,-48.33333333333333,1.00747957282239,0.007479572822389537,0.0
baseline,K_B,s_wave,0.0,0.05,-47.5,1.0077461365604907,0.007746136560490946,0.0
baseline,K_B,s_wave,0.0,0.05,-46.66666666666666,1.0079392292513247,0.007939229251325291,0.0
baseline,K_B,s_wave,0.0,0.05,-45.83333333333333,1.008214294423125,0.008214294423125115,0.0
baseline,K_B,s_wave,0.0,0.05,-45.0,1.0085357717038974,0.008535771703897157,0.0
baseline,K_B,s_wave,0.0,0.05,-44.16666666666666,1.0088780889947206,0.008878088994721051,0.0
baseline,K_B,s_wave,0.0,0.05,-43.33333333333333,1.0091875254300793,0.009187525430079464,0.0
baseline,K_B,s_wave,0.0,0.05,-42.5,1.0094391892363777,0.009439189236376893,0.0
baseline,K_B,s_wave,0.0,0.05,-41.66666666666666,1.009395763696749,0.009395763696748913,0.0
baseline,K_B,s_wave,0.0,0.05,-40.83333333333333,1.0101347123474003,0.01013471234740066,0.0
baseline,K_B,s_wave,0.0,0.05,-40.0,1.009596478348961,0.009596478348960222,0.0
baseline,K_B,s_wave,0.0,0.05,-39.16666666666666,1.0090887782997553,0.009088778299755252,0.0
baseline,K_B,s_wave,0.0,0.05,-38.33333333333333,1.0099131371931307,0.009913137193130807,0.0
baseline,K_B,s_wave,0.0,0.05,-37.5,1.0093007739861326,0.009300773986133187,0.0
baseline,K_B,s_wave,0.0,0.05,-36.66666666666666,1.0091909739172236,0.009190973917223351,0.0
baseline,K_B,s_wave,0.0,0.05,-35.83333333333333,1.0094297556974619,0.009429755697461793,0.0
baseline,K_B,s_wave,0.0,0.05,-35.0,1.0093806350731123,0.009380635073111787,0.0
baseline,K_B,s_wave,0.0,0.05,-34.166666666666664,1.0099224507988973,0.009922450798897033,0.0
baseline,K_B,s_wave,0.0,0.05,-33.33333333333333,1.0102418370724389,0.010241837072439116,0.0
baseline,K_B,s_wave,0.0,0.05,-32.5,1.01060647526836,0.010606475268360208,0.0
baseline,K_B,s_wave,0.0,0.05,-31.666666666666664,1.012033873902624,0.012033873902623875,0.0
baseline,K_B,s_wave,0.0,0.05,-30.83333333333333,1.0133845411306517,0.013384541130651666,0.0
baseline,K_B,s_wave,0.0,0.05,-30.0,1.0140703722423345,0.014070372242333973,0.0
baseline,K_B,s_wave,0.0,0.05,-29.166666666666664,1.0161077498998528,0.016107749899853127,0.0
baseline,K_B,s_wave,0.0,0.05,-28.33333333333333,1.018105635101027,0.018105635101026543,0.0
baseline,K_B,s_wave,0.0,0.05,-27.5,1.0200491801329228,0.020049180132922374,0.0
baseline,K_B,s_wave,0.0,0.05,-26.666666666666664,1.0222407756047283,0.02224077560472875,0.0
baseline,K_B,s_wave,0.0,0.05,-25.83333333333333,1.0251704334007041,0.025170433400704816,0.0
baseline,K_B,s_wave,0.0,0.05,-25.0,1.0271530555511275,0.02715305555112679,0.0
baseline,K_B,s_wave,0.0,0.05,-24.166666666666664,1.0292679455131775,0.029267945513177927,0.0
baseline,K_B,s_wave,0.0,0.05,-23.33333333333333,1.0317028062949072,0.03170280629490656,0.0
baseline,K_B,s_wave,0.0,0.05,-22.5,1.034675471571578,0.03467547157157822,0.0
baseline,K_B,s_wave,0.0,0.05,-21.666666666666664,1.03763551989373,0.037635519893730096,0.0
baseline,K_B,s_wave,0.0,0.05,-20.83333333333333,1.0407761771961312,0.04077617719613025,0.0
baseline,K_B,s_wave,0.0,0.05,-20.0,1.044138401912033,0.04413840191203306,0.0
baseline,K_B,s_wave,0.0,0.05,-19.166666666666664,1.047689749255668,0.04768974925566912,0.0
baseline,K_B,s_wave,0.0,0.05,-18.33333333333333,1.0525240355417622,0.05252403554176223,0.0
baseline,K_B,s_wave,0.0,0.05,-17.5,1.0576672553230486,0.05766725532304942,0.0
baseline,K_B,s_wave,0.0,0.05,-16.666666666666664,1.0634713444302035,0.06347134443020329,0.0
baseline,K_B,s_wave,0.0,0.05,-15.833333333333329,1.0690362486926215,0.0690362486926209,0.0
baseline,K_B,s_wave,0.0,0.05,-15.0,1.0756442593920732,0.07564425939207274,0.0
baseline,K_B,s_wave,0.0,0.05,-14.166666666666655,1.0854745464935223,0.08547454649352135,0.0
baseline,K_B,s_wave,0.0,0.05,-13.333333333333329,1.0894977525972094,0.0894977525972097,0.0
