pairing,barrier_Z,eta_meV,baseline_zero_bias_conductance,baseline_peak_minus_background,compressed_v3_zero_bias_conductance,compressed_v3_peak_minus_background,delta_zero_bias_conductance,delta_peak_minus_background
s_wave,0.0,0.05,7.824110975425041,6.789400534239956,7.709873731287537,6.681008893247999,-0.11423724413750413,-0.10839164099195653
s_wave,0.5,0.05,6.4592887803400325,5.682789392417479,6.36789898503003,5.724833061678387,-0.09138979531000224,0.04204366926090852
s_wave,1.0,0.05,4.412055487712521,4.022872679683763,4.3549368656437695,4.290569314323969,-0.05711862206875118,0.2676966346402061
s_wave,2.0,0.05,2.3648221950850083,2.3629559669500466,2.3419747462575087,2.8563055669695507,-0.022847448827499672,0.4933496000195041
s_wave,0.0,0.2,7.712362433251049,6.677694760782036,7.599995886342874,6.571164734422483,-0.11236654690817538,-0.106530026359553
s_wave,0.5,0.2,6.36988994660084,5.593317777990287,6.279996709074298,5.636868375487873,-0.08989323752654244,0.043550597497585386
s_wave,1.0,0.2,4.356181216625525,3.966752303802662,4.299997943171436,4.235423837085958,-0.05618327345408858,0.2686715332832956
s_wave,2.0,0.2,2.34247248665021,2.3401868296150368,2.319999177268574,2.8339792986840426,-0.02247330938163561,0.49379246906900587
s_wave,0.0,0.5,7.14852398885796,6.114093446497725,7.045596231890072,6.016951829535608,-0.1029277569678877,-0.09714161696211665
s_wave,0.5,0.5,5.91881919108637,5.141842292256479,5.836476985512058,5.193001369979398,-0.08234220557431193,0.051159077722918944
s_wave,1.0,0.5,4.07426199442898,3.683465560894606,4.022798115945036,3.9570756806450826,-0.05146387848394429,0.2736101197504768
s_wave,2.0,0.5,2.229704797771592,2.2250888295327345,2.2091192463780143,2.721149991310768,-0.02058555139357754,0.4960611617780337
nodal_even,0.0,0.05,7.71623845799581,6.697221461108393,7.630409593930946,6.61558094824987,-0.08582886406486345,-0.08164051285852292
nodal_even,0.5,0.05,6.372990766396648,5.612184533169934,6.304327675144756,5.675297710231959,-0.06866309125189218,0.06311317706202502
nodal_even,1.0,0.05,4.3581192289979045,3.9846291412622437,4.315204796965473,4.264872853205094,-0.042914432032431726,0.28024371194285
nodal_even,2.0,0.05,2.3432476915991622,2.3570737493545546,2.326081918786189,2.854447996178229,-0.017165772812973046,0.4973742468236746
nodal_even,0.0,0.2,7.2673735294703405,6.248380272845586,7.279108913901606,6.264298508417924,0.011735384431265317,0.015918235572337736
