model,valley,pairing,barrier_Z,eta_meV,zero_bias_conductance,peak_conductance,background_conductance,peak_minus_background,zero_bias_andreev,zero_bias_normal_reflection
baseline,K_T,nodal_even,2.0,0.05,1.6352398045035808,1.6352398045035808,0.055329558317392946,1.5799102461861878,0.6352398045035811,0.0
baseline,total,nodal_even,2.0,0.05,2.3432476915991622,2.3432476915991622,-0.013826057755392454,2.3570737493545546,1.343247691599162,0.0
baseline,K_B,nodal_even,0.0,0.2,6.896918146784888,6.896918146784888,1.023445261793788,5.8734728849910995,5.896918146784888,0.0
baseline,K_T,nodal_even,0.0,0.2,3.576327139599107,3.576327139599107,1.014561430559343,2.561765709039764,2.576327139599106,0.0
baseline,total,nodal_even,0.0,0.2,7.2673735294703405,7.2673735294703405,1.0189932566247544,6.248380272845586,6.267373529470343,0.0
baseline,K_B,nodal_even,0.5,0.2,5.717534517427911,5.717534517427911,0.7395375317285164,4.977996985699394,4.71753451742791,0.0
baseline,K_T,nodal_even,0.5,0.2,3.0610617116792853,3.0610617116792853,0.7748626368300493,2.286199074849236,2.0610617116792858,0.0
baseline,total,nodal_even,0.5,0.2,6.013898823576274,6.013898823576274,0.7609023716550114,5.252996451921263,5.013898823576273,0.0
baseline,K_B,nodal_even,1.0,0.2,3.948459073392444,3.948459073392444,0.31367593663060866,3.6347831367618353,2.948459073392444,0.0
baseline,K_T,nodal_even,1.0,0.2,2.2881635697995533,2.2881635697995533,0.41531444623610875,1.8728491235634446,1.288163569799553,0.0
baseline,total,nodal_even,1.0,0.2,4.133686764735172,4.133686764735172,0.3737660442003968,3.759920720534775,3.1336867647351716,0.0
baseline,K_B,nodal_even,2.0,0.2,2.179383629356977,2.179383629356977,-0.11218565846729897,2.291569287824276,1.1793836293569775,0.0
baseline,K_T,nodal_even,2.0,0.2,1.515265427919821,1.515265427919821,0.05576625564216818,1.459499172277653,0.5152654279198214,0.0
baseline,total,nodal_even,2.0,0.2,2.2534747058940683,2.2534747058940683,-0.01337028325421787,2.2668449891482862,1.2534747058940683,0.0
baseline,K_B,nodal_even,0.0,0.5,5.176066328651708,5.176066328651708,1.0232762774419402,4.152790051209768,4.176066328651706,0.0
baseline,K_T,nodal_even,0.0,0.5,2.8044347631379476,2.8044347631379476,1.0144641418642695,1.7899706212736781,1.8044347631379478,0.0
baseline,total,nodal_even,0.0,0.5,6.272226939603461,6.272226939603461,1.0188616722971229,5.253365267306338,5.272226939603462,0.0
baseline,K_B,nodal_even,0.5,0.5,4.340853062921366,4.340853062921366,0.7401519423067139,3.600701120614652,3.340853062921366,0.0
baseline,K_T,nodal_even,0.5,0.5,2.4435478105103576,2.4435478105103576,0.7753959285832425,1.6681518819271153,1.4435478105103579,0.0
baseline,total,nodal_even,0.5,0.5,5.217781551682771,5.217781551682771,0.7614363896848267,4.456345161997945,4.21778155168277,0.0
baseline,K_B,nodal_even,1.0,0.5,3.088033164325854,3.088033164325854,0.3154654396038742,2.7725677247219798,2.088033164325853,0.0
baseline,K_T,nodal_even,1.0,0.5,1.9022173815689734,1.9022173815689734,0.4167936086617021,1.4854237729072712,0.9022173815689739,0.0
baseline,total,nodal_even,1.0,0.5,3.636113469801731,3.636113469801731,0.3752984657663828,3.260815004035348,2.636113469801731,0.0
baseline,K_B,nodal_even,2.0,0.5,1.8352132657303424,1.8352132657303424,-0.10922106309896543,1.9444343288293078,0.8352132657303415,0.0
baseline,K_T,nodal_even,2.0,0.5,1.3608869526275895,1.3608869526275895,0.058191288740161703,1.3026956638874279,0.36088695262758946,0.0
baseline,total,nodal_even,2.0,0.5,2.0544453879206923,2.0544453879206923,-0.01083945815206124,2.0652848460727538,1.0544453879206925,0.0
baseline,K_B,valley_even,0.0,0.05,8.303586437958458,8.303586437958458,1.0228324047229205,7.280754033235538,7.303586437958459,0.0
baseline,K_T,valley_even,0.0,0.05,4.150318678977607,4.150318678977607,1.0218453667681087,3.1284733122094983,3.1503186789776074,0.0
baseline,total,valley_even,0.0,0.05,3.9094343378759793,3.9094343378759793,1.0156512038354863,2.893783134040493,2.9094343378759793,0.0
baseline,K_B,valley_even,0.5,0.05,6.842869150366767,6.842869150366767,0.738783472506874,6.104085677859893,5.8428691503667665,0.0
baseline,K_T,valley_even,0.5,0.05,3.520254943182086,3.520254943182086,0.7820328676287431,2.738222075553343,2.5202549431820858,0.0
baseline,total,valley_even,0.5,0.05,3.3275474703007837,3.3275474703007837,0.757440500140701,2.570106970160083,2.3275474703007832,0.0
baseline,K_B,valley_even,1.0,0.05,4.65179321897923,4.65179321897923,0.3127100741828043,4.339083144796426,3.6517932189792295,0.0
baseline,K_T,valley_even,1.0,0.05,2.5751593394888035,2.5751593394888035,0.4223141189196947,2.152845220569109,1.5751593394888037,0.0
baseline,total,valley_even,1.0,0.05,2.4547171689379894,2.4547171689379894,0.37012444459852284,2.0845927243394664,1.4547171689379896,0.0
baseline,K_B,valley_even,2.0,0.05,2.460717287591692,2.460717287591692,-0.11336332414126546,2.5740806117329575,1.4607172875916916,0.0
baseline,K_T,valley_even,2.0,0.05,1.6300637357955214,1.6300637357955214,0.06259537021064636,1.5674683655848751,0.6300637357955214,0.0
baseline,total,valley_even,2.0,0.05,1.5818868675751963,1.5818868675751963,-0.01719161094365532,1.5990784785188517,0.5818868675751958,0.0
baseline,K_B,valley_even,0.0,0.2,7.716597956313863,7.716597956313863,1.0227990930623825,6.69379886325148,6.716597956313863,0.0
baseline,K_T,valley_even,0.0,0.2,3.9734670157180343,3.9734670157180343,1.0218181680292084,2.951648847688826,2.9734670157180343,0.0
baseline,total,valley_even,0.0,0.2,2.961156679450913,2.961156679450913,1.0156316834754526,1.9455249959754606,1.9611566794509139,0.0
baseline,K_B,valley_even,0.5,0.2,6.373278365051091,6.373278365051091,0.7388906288926298,5.634387736158461,5.373278365051092,0.0
baseline,K_T,valley_even,0.5,0.2,3.378773612574427,3.378773612574427,0.7821170860397377,2.596656526534689,2.3787736125744274,0.0
baseline,total,valley_even,0.5,0.2,2.568925343560731,2.568925343560731,0.7575417545809013,1.8113835889798298,1.5689253435607309,0.0
baseline,K_B,valley_even,1.0,0.2,4.358298978156931,4.358298978156931,0.3130279326380007,4.0452710455189305,3.3582989781569315,0.0
