label,point_index,source_1,source_2,source_3,reconstructed_1,reconstructed_2,reconstructed_3,delta_1,delta_2,delta_3
Gamma_start,0,-20.14604535317273,-23.75000000000001,-36.52604535317273,-20.146045353172727,-23.750000000000014,-36.526045353172734,3.552713678800501e-15,-3.552713678800501e-15,-7.105427357601002e-15
K_B,150,11.53398272275912,-32.75359526973187,-50.60036279610351,-5.623165403446245,-11.511973097721855,-54.478814095913094,-17.157148126205364,21.24162217201001,-3.8784512998095835
M,300,10.02827159563746,-16.4313182156091,-64.66958981124654,0.4507920027802603,-17.338820944132152,-54.18460748986641,-9.577479592857198,-0.9075027285230526,10.48498232138013
K_T,450,11.44324828450197,-32.63846976202326,-50.6417433171965,-1.1105265718357173,-11.511974922187122,-58.99145110305834,-12.553774856337686,21.12649483983614,-8.349707785861838
Gamma_end,599,-20.14604535317273,-23.75000000000001,-36.52604535317273,-20.132893736747686,-23.76248995458991,-36.52489562743457,0.01315161642504492,-0.0124899545898991,0.0011497257381591908
