metric,mean,std,ci95_half_width,seed_count
mean_fixed_psnr_lowres,20.275825724309694,0.3336419137897119,0.3775513675292869,3
mean_guided_psnr_lowres,23.256759397632297,0.37223022847743414,0.4212181563194465,3
mean_phaseonly_psnr_lowres,14.933144162488496,0.10280977519586358,0.11634021271392722,3
mean_phaseonly_psnr_gain_over_fixed_lowres,-5.342681561821199,0.24321042366389972,0.2752185030012678,3
mean_phaseonly_psnr_gap_to_guided_lowres,8.3236152351438,0.30986555713834174,0.35064588713977335,3
mean_fixed_ssim_lowres,0.8924839422251304,0.008457247150497584,0.009570276081128232,3
mean_guided_ssim_lowres,0.9421230710519698,0.0054473737143402624,0.006164283653487651,3
mean_phaseonly_ssim_lowres,0.6656849509068026,0.007424912120064533,0.008402079022008003,3
mean_phaseonly_ssim_gain_over_fixed_lowres,-0.22679899131832781,0.0032331997983975546,0.003658709996939397,3
phaseonly_better_than_fixed_fraction,0.010416666666666666,0.009021097956087904,0.010208333333333335,3
