seed,protocol,case_id,object_id,split,defocus,astig_x,coma_x,fixed_psnr_lowres,guided_psnr_lowres,phaseonly_psnr_lowres,fixed_ssim_lowres,guided_ssim_lowres,phaseonly_ssim_lowres,phaseonly_psnr_gain_over_fixed_lowres,phaseonly_psnr_gap_to_guided_lowres,phaseonly_ssim_gain_over_fixed_lowres
0,new_family_heldout_object_family,0,heldout_object_family_object_00,heldout_object_family,0.2002294291693707,0.7079559766736705,0.23257151855581593,18.904846398380958,20.27939680932123,13.351200104731575,0.8800669100212526,0.9161366603895927,0.6076781915534611,-5.553646293649383,6.928196704589656,-0.27238871846779145
0,new_family_heldout_object_family,0,heldout_object_family_object_01,heldout_object_family,0.2002294291693707,0.7079559766736705,0.23257151855581593,20.279174231173425,21.630765614226682,14.622768483888091,0.9557094721033951,0.9678815677016702,0.8433361441997677,-5.6564057472853335,7.007997130338591,-0.11237332790362742
0,new_family_heldout_object_family,0,heldout_object_family_object_02,heldout_object_family,0.2002294291693707,0.7079559766736705,0.23257151855581593,23.03793811356144,24.177266614084154,20.699404895526932,0.8927301988403383,0.9190621277566465,0.8539226321932788,-2.3385332180345095,3.4778617185572216,-0.03880756664705953
0,new_family_heldout_object_family,0,heldout_object_family_object_03,heldout_object_family,0.2002294291693707,0.7079559766736705,0.23257151855581593,19.085254071379122,20.538612041362,11.261578550663515,0.8612710081346762,0.9026874331482067,0.38816273195030726,-7.823675520715607,9.277033490698486,-0.4731082761843689
0,new_family_heldout_object_family,1,heldout_object_family_object_00,heldout_object_family,-0.26652956118451554,-0.0639361100489102,0.5141779538063087,18.882440230003656,21.43850673438829,13.374953233899738,0.8812580803817534,0.9370700378647688,0.6049573619221137,-5.507486996103918,8.063553500488553,-0.27630071845963966
0,new_family_heldout_object_family,1,heldout_object_family_object_01,heldout_object_family,-0.26652956118451554,-0.0639361100489102,0.5141779538063087,21.149390204594972,24.843186241164375,14.746379712521932,0.9637960372907842,0.9848743915824186,0.847987775633466,-6.40301049207304,10.096806528642443,-0.11580826165731828
0,new_family_heldout_object_family,1,heldout_object_family_object_02,heldout_object_family,-0.26652956118451554,-0.0639361100489102,0.5141779538063087,23.439720204161958,24.991802007223445,21.05367348333249,0.9050770135877133,0.9338233818639878,0.8640986662835566,-2.3860467208294693,3.9381285238909562,-0.040978347304156726
0,new_family_heldout_object_family,1,heldout_object_family_object_03,heldout_object_family,-0.26652956118451554,-0.0639361100489102,0.5141779538063087,19.85045131135054,23.125780238327422,11.02492158779395,0.8882934245859837,0.9489104776065116,0.36887717560584615,-8.82552972355659,12.100858650533473,-0.5194162489801375
0,new_family_heldout_object_family,2,heldout_object_family_object_00,heldout_object_family,-0.5624304860375234,0.5724415800899991,-0.10311974929438894,19.709491237452813,22.446586108828917,13.29565997475628,0.9031897853698203,0.9508039730882176,0.6022950500024613,-6.413831262696533,9.150926134072638,-0.300894735367359
0,new_family_heldout_object_family,2,heldout_object_family_object_01,heldout_object_family,-0.5624304860375234,0.5724415800899991,-0.10311974929438894,21.356445137305236,23.867978963205875,14.650135379475833,0.9660161271247547,0.9811203392355573,0.8456216961168471,-6.706309757829404,9.217843583730042,-0.12039443100790759
0,new_family_heldout_object_family,2,heldout_object_family_object_02,heldout_object_family,-0.5624304860375234,0.5724415800899991,-0.10311974929438894,24.011714319909526,26.2732578513285,20.80538436555515,0.9174569272835363,0.9509375141615565,0.8554559403772081,-3.206329954354377,5.4678734857733495,-0.06200098690632827
