candidate,eta,alpha,phi,barrier_Z,zero_bias_conductance,peak_conductance,peak_bias,background_conductance,peak_minus_background,subgap_average,zero_bias_andreev,zero_bias_normal,mean_frustration
s_wave,0.0,0.0,0.0,0.0,1.9680000000540006,1.9680000000540006,0.0,1.1178807180254846,0.8501192820285159,1.8401966300859953,0.9680000000540002,0.0,4.132233444309464e-11
s_wave,0.0,0.0,0.0,0.5,1.7589120000432004,1.7589120000432004,0.0,0.9167740031839255,0.8421379968592748,1.632308503037577,0.7744000000432003,0.015488,4.132233444309464e-11
s_wave,0.0,0.0,0.0,1.0,1.4452800000270003,1.4452800000270003,0.0,0.6151139309215873,0.830166069105413,1.3204763124649481,0.4840000000270001,0.03872000000000001,4.132233444309464e-11
s_wave,0.0,0.0,0.0,2.0,1.1316480000108002,1.1316480000108002,0.0,0.3134538586592489,0.8181941413515513,1.008644121892319,0.19360000001080008,0.061952000000000014,4.132233444309464e-11
s_wave,0.0,0.0,0.0,3.0,1.0271040000054004,1.0271040000054004,0.0,0.2129005012384695,0.8142034987669309,0.9047000583681094,0.09680000000540004,0.06969600000000002,4.132233444309464e-11
s_wave,0.0,0.0,0.39269908169872414,0.0,1.9675724682516045,1.9675724682516045,0.0,1.1164632834920067,0.8511091847595977,1.8384938101496877,0.9675724682516045,0.0,4.132233444309464e-11
s_wave,0.0,0.0,0.39269908169872414,0.5,1.7585768151101218,1.7585768151101218,0.0,0.9153805064250868,0.8431963086850349,1.6306982168770277,0.7740579746012837,0.01548115949116205,4.132233444309464e-11
s_wave,0.0,0.0,0.39269908169872414,1.0,1.4450833353978974,1.4450833353978974,0.0,0.6137563408247069,0.8313269945731905,1.3190048269680374,0.48378623412580224,0.03870289872790513,4.132233444309464e-11
s_wave,0.0,0.0,0.39269908169872414,2.0,1.1315898556856725,1.1315898556856725,0.0,0.31213217522432685,0.8194576804613456,1.0073114370590472,0.19351449365032092,0.06192463796464822,4.132233444309464e-11
s_wave,0.0,0.0,0.39269908169872414,3.0,1.0270920291149312,1.0270920291149312,0.0,0.21159078669086692,0.8155012424240643,0.9034136404227173,0.09675724682516046,0.06966521771022924,4.132233444309464e-11
s_wave,0.0,0.0,0.7853981633974483,0.0,1.9664907996175507,1.9664907996175507,0.0,1.1130220515018538,0.8534687481156968,1.8342241847950729,0.9664907996175506,0.0,4.132233444309464e-11
s_wave,0.0,0.0,0.7853981633974483,0.5,1.7577287869010225,1.7577287869010225,0.0,0.911997390389566,0.8457313965114566,1.6266612482702074,0.7731926396940403,0.015463852793018151,4.132233444309464e-11
s_wave,0.0,0.0,0.7853981633974483,1.0,1.44458576782623,1.44458576782623,0.0,0.610460398721134,0.8341253691050959,1.3153168434829103,0.4832453998087753,0.038659631982545385,4.132233444309464e-11
s_wave,0.0,0.0,0.7853981633974483,2.0,1.1314427487514378,1.1314427487514378,0.0,0.3089234070527019,0.822519341698736,1.0039724386956128,0.19329815992351007,0.06185541117207262,4.132233444309464e-11
s_wave,0.0,0.0,0.7853981633974483,3.0,1.0270617423931736,1.0270617423931736,0.0,0.2084110764965579,0.8186506658966157,0.9001909704331804,0.09664907996175504,0.06958733756858168,4.132233444309464e-11
s_wave,0.0,0.0,1.1780972450961724,0.0,1.9653330516140417,1.9653330516140417,0.0,1.1095533387948395,0.8557797128192022,1.8297144371587926,0.9653330516140415,0.0,4.132233444309464e-11
s_wave,0.0,0.0,1.1780972450961724,0.5,1.7568211124662703,1.7568211124662703,0.0,0.9085872578616038,0.8482338546046665,1.6223982433901911,0.7722664412912332,0.015445328824963042,4.132233444309464e-11
s_wave,0.0,0.0,1.1780972450961724,1.0,1.4440532037446132,1.4440532037446132,0.0,0.6071381364617499,0.8369150672828634,1.3114239527372897,0.48266652580702074,0.03861332206240761,4.132233444309464e-11
s_wave,0.0,0.0,1.1780972450961724,2.0,1.1312852950229562,1.1312852950229562,0.0,0.30568901506189594,0.8255962799610602,1.0004496620843883,0.1930666103228083,0.06178131529985218,4.132233444309464e-11
s_wave,0.0,0.0,1.1780972450961724,3.0,1.0270293254490706,1.0270293254490706,0.0,0.20520597459527795,0.8218233508537927,0.8967915652000878,0.09653330516140415,0.0695039797123337,4.132233444309464e-11
s_wave,0.0,0.0,1.5707963267948966,0.0,1.9648292543727404,1.9648292543727404,0.0,1.1081084226174878,0.8567208317552526,1.8277710964189444,0.9648292543727404,0.0,4.132233444309464e-11
s_wave,0.0,0.0,1.5707963267948966,0.5,1.7564261354290898,1.7564261354290898,0.0,0.907166743698979,0.8492593917301108,1.6205615493856091,0.7718634034981923,0.01543726806910267,4.132233444309464e-11
s_wave,0.0,0.0,1.5707963267948966,1.0,1.4438214570136136,1.4438214570136136,0.0,0.6057542253212158,0.8380672316923978,1.3097472288356058,0.4824146271863702,0.03859317017275668,4.132233444309464e-11
s_wave,0.0,0.0,1.5707963267948966,2.0,1.1312167785981375,1.1312167785981375,0.0,0.3043417069434527,0.8268750716546849,0.9989329082856032,0.19296585087454807,0.061749072276410695,4.132233444309464e-11
s_wave,0.0,0.0,1.5707963267948966,3.0,1.027015219126312,1.027015219126312,0.0,0.20387086748419825,0.8231443516421137,0.8953281347689354,0.09648292543727403,0.06946770631096202,4.132233444309464e-11
s_wave,0.0,0.0,1.9634954084936207,0.0,1.9653330516140417,1.9653330516140417,0.0,1.1095533387948395,0.8557797128192022,1.8297144371587926,0.9653330516140415,0.0,4.132233444309464e-11
s_wave,0.0,0.0,1.9634954084936207,0.5,1.7568211124662703,1.7568211124662703,0.0,0.9085872578616038,0.8482338546046665,1.6223982433901911,0.7722664412912332,0.015445328824963042,4.132233444309464e-11
s_wave,0.0,0.0,1.9634954084936207,1.0,1.4440532037446132,1.4440532037446132,0.0,0.6071381364617499,0.8369150672828634,1.3114239527372897,0.48266652580702074,0.03861332206240761,4.132233444309464e-11
s_wave,0.0,0.0,1.9634954084936207,2.0,1.1312852950229562,1.1312852950229562,0.0,0.30568901506189594,0.8255962799610602,1.0004496620843883,0.1930666103228083,0.06178131529985218,4.132233444309464e-11
s_wave,0.0,0.0,1.9634954084936207,3.0,1.0270293254490706,1.0270293254490706,0.0,0.20520597459527795,0.8218233508537927,0.8967915652000878,0.09653330516140415,0.0695039797123337,4.132233444309464e-11
s_wave,0.0,0.0,2.356194490192345,0.0,1.9664907996175507,1.9664907996175507,0.0,1.1130220515018538,0.8534687481156968,1.8342241847950729,0.9664907996175506,0.0,4.132233444309464e-11
s_wave,0.0,0.0,2.356194490192345,0.5,1.7577287869010225,1.7577287869010225,0.0,0.911997390389566,0.8457313965114566,1.6266612482702074,0.7731926396940403,0.015463852793018151,4.132233444309464e-11
s_wave,0.0,0.0,2.356194490192345,1.0,1.44458576782623,1.44458576782623,0.0,0.610460398721134,0.8341253691050959,1.3153168434829103,0.4832453998087753,0.038659631982545385,4.132233444309464e-11
s_wave,0.0,0.0,2.356194490192345,2.0,1.1314427487514378,1.1314427487514378,0.0,0.3089234070527019,0.822519341698736,1.0039724386956128,0.19329815992351007,0.06185541117207262,4.132233444309464e-11
s_wave,0.0,0.0,2.356194490192345,3.0,1.0270617423931736,1.0270617423931736,0.0,0.2084110764965579,0.8186506658966157,0.9001909704331804,0.09664907996175504,0.06958733756858168,4.132233444309464e-11
s_wave,0.0,0.0,2.748893571891069,0.0,1.9675724682516045,1.9675724682516045,0.0,1.1164632834920067,0.8511091847595977,1.8384938101496877,0.9675724682516045,0.0,4.132233444309464e-11
s_wave,0.0,0.0,2.748893571891069,0.5,1.7585768151101218,1.7585768151101218,0.0,0.9153805064250868,0.8431963086850349,1.6306982168770277,0.7740579746012837,0.01548115949116205,4.132233444309464e-11
s_wave,0.0,0.0,2.748893571891069,1.0,1.4450833353978974,1.4450833353978974,0.0,0.6137563408247069,0.8313269945731905,1.3190048269680374,0.48378623412580224,0.03870289872790513,4.132233444309464e-11
s_wave,0.0,0.0,2.748893571891069,2.0,1.1315898556856725,1.1315898556856725,0.0,0.31213217522432685,0.8194576804613456,1.0073114370590472,0.19351449365032092,0.06192463796464822,4.132233444309464e-11
s_wave,0.0,0.0,2.748893571891069,3.0,1.0270920291149312,1.0270920291149312,0.0,0.21159078669086692,0.8155012424240643,0.9034136404227173,0.09675724682516046,0.06966521771022924,4.132233444309464e-11
s_wave,0.0,0.0,3.141592653589793,0.0,1.9680000000540006,1.9680000000540006,0.0,1.1178807180254846,0.8501192820285159,1.8401966300859953,0.9680000000540002,0.0,4.132233444309464e-11
s_wave,0.0,0.0,3.141592653589793,0.5,1.7589120000432004,1.7589120000432004,0.0,0.9167740031839255,0.8421379968592748,1.632308503037577,0.7744000000432003,0.015488,4.132233444309464e-11
s_wave,0.0,0.0,3.141592653589793,1.0,1.4452800000270003,1.4452800000270003,0.0,0.6151139309215873,0.830166069105413,1.3204763124649481,0.4840000000270001,0.03872000000000001,4.132233444309464e-11
s_wave,0.0,0.0,3.141592653589793,2.0,1.1316480000108002,1.1316480000108002,0.0,0.3134538586592489,0.8181941413515513,1.008644121892319,0.19360000001080008,0.061952000000000014,4.132233444309464e-11
s_wave,0.0,0.0,3.141592653589793,3.0,1.0271040000054004,1.0271040000054004,0.0,0.2129005012384695,0.8142034987669309,0.9047000583681094,0.09680000000540004,0.06969600000000002,4.132233444309464e-11
s_wave,0.0,0.5235987755982988,0.0,0.0,1.967262934636126,1.967262934636126,0.0,1.1154577313431884,0.8518052032929375,1.8372663830699454,0.967262934636126,0.0,4.1322334443094626e-11
s_wave,0.0,0.5235987755982988,0.0,0.5,1.7583341407555861,1.7583341407555861,0.0,0.914391936153313,0.8439422046022731,1.6295375798923135,0.7738103477089009,0.015476206953314671,4.1322334443094626e-11
