dataset_name,dataset_version,phase_noise_sigma_rad,misalignment_label,shift_sigma_px,rotation_sigma_deg,wavelength_drift_fraction,mean_degradation_vs_clean_db,degradation_ci95_half_width,degradation_ci_low,degradation_ci_high,mean_psnr_gain_over_fixed_lowres,gain_ci95_half_width,pass_state
Kodak-PCD0992,unrestricted public release,0.0,clean,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.44087097841919515,0.19888263554709895,fail
Kodak-PCD0992,unrestricted public release,0.0,clean,0.0,0.0,0.005,0.004764083824113012,0.010206502460842967,-0.005442418636729955,0.01497058628495598,-0.44563506224330823,0.20070826841399592,fail
Kodak-PCD0992,unrestricted public release,0.0,clean,0.0,0.0,0.01,0.019291856677383774,0.028794891899257342,-0.009503035221873568,0.048086748576641115,-0.46016283509657896,0.20396599022280085,fail
Kodak-PCD0992,unrestricted public release,0.0,clean,0.0,0.0,0.02,0.10250079863051213,0.08397392208802627,0.01852687654248586,0.1864747207185384,-0.5433717770497073,0.23878889674489542,fail
Kodak-PCD0992,unrestricted public release,0.0,mild,0.25,0.5,0.0,12.204758066372364,2.1172453228892887,10.087512743483074,14.322003389261653,-12.64562904479156,2.209555393302153,fail
Kodak-PCD0992,unrestricted public release,0.0,mild,0.25,0.5,0.005,11.027816354327179,2.0220209858400753,9.005795368487103,13.049837340167254,-11.468687332746375,2.2193644635001153,fail
Kodak-PCD0992,unrestricted public release,0.0,mild,0.25,0.5,0.01,12.73874393252988,1.6095818079307587,11.129162124599121,14.34832574046064,-13.179614910949077,1.7578230563716108,fail
Kodak-PCD0992,unrestricted public release,0.0,mild,0.25,0.5,0.02,11.134311156423673,3.1228090307021503,8.011502125721522,14.257120187125823,-11.575182134842871,3.2627641505911535,fail
Kodak-PCD0992,unrestricted public release,0.0,moderate,0.5,1.0,0.0,14.433081284940805,1.0765642878450454,13.35651699709576,15.50964557278585,-14.873952263360001,1.2267341289071236,fail
Kodak-PCD0992,unrestricted public release,0.0,moderate,0.5,1.0,0.005,13.814045327857313,1.0817593137953163,12.732286014061996,14.89580464165263,-14.254916306276508,1.1380291636344917,fail
Kodak-PCD0992,unrestricted public release,0.0,moderate,0.5,1.0,0.01,14.69134274690496,0.45618008691002804,14.235162659994932,15.147522833814987,-15.132213725324155,0.6016082231897577,fail
Kodak-PCD0992,unrestricted public release,0.0,moderate,0.5,1.0,0.02,14.63770580564553,1.7053599245732824,12.932345881072248,16.34306573021881,-15.078576784064722,1.7414567757803747,fail
Kodak-PCD0992,unrestricted public release,0.0,severe,1.0,2.0,0.0,15.865178378540106,0.08730142187066027,15.777876956669445,15.952479800410767,-16.306049356959303,0.2734862303355886,fail
Kodak-PCD0992,unrestricted public release,0.0,severe,1.0,2.0,0.005,16.049597827136733,0.4951780820153833,15.554419745121349,16.544775909152115,-16.490468805555928,0.5905950787990479,fail
Kodak-PCD0992,unrestricted public release,0.0,severe,1.0,2.0,0.01,15.879137540855112,0.471477321835004,15.407660219020109,16.350614862690115,-16.320008519274307,0.37333933078478726,fail
Kodak-PCD0992,unrestricted public release,0.0,severe,1.0,2.0,0.02,15.770333105071378,0.5790352565741597,15.191297848497218,16.34936836164554,-16.21120408349057,0.7751297483685777,fail
Kodak-PCD0992,unrestricted public release,0.05,clean,0.0,0.0,0.0,8.75173503300507,2.1623815583123163,6.5893534746927545,10.914116591317388,-9.192606011424267,2.112030765863481,fail
Kodak-PCD0992,unrestricted public release,0.05,clean,0.0,0.0,0.005,9.117553643898383,2.096985138794466,7.020568505103917,11.214538782692848,-9.558424622317578,2.1067852245440166,fail
Kodak-PCD0992,unrestricted public release,0.05,clean,0.0,0.0,0.01,9.577655405125247,1.7364219872896605,7.8412334178355865,11.314077392414907,-10.018526383544446,1.5931407094964012,fail
Kodak-PCD0992,unrestricted public release,0.05,clean,0.0,0.0,0.02,9.590472667912113,1.2327989476755141,8.3576737202366,10.823271615587627,-10.031343646331308,1.2120909192171225,fail
Kodak-PCD0992,unrestricted public release,0.05,mild,0.25,0.5,0.0,13.176225846840458,2.3304110961588207,10.845814750681637,15.506636942999279,-13.617096825259651,2.4027055503227577,fail
Kodak-PCD0992,unrestricted public release,0.05,mild,0.25,0.5,0.005,12.931916291323192,1.8655314517293025,11.06638483959389,14.797447743052494,-13.372787269742387,1.9672383245118694,fail
Kodak-PCD0992,unrestricted public release,0.05,mild,0.25,0.5,0.01,12.490981737028967,1.4250535772833854,11.065928159745582,13.916035314312353,-12.931852715448164,1.5655106387512159,fail
Kodak-PCD0992,unrestricted public release,0.05,mild,0.25,0.5,0.02,12.501643758203306,1.8061685708668562,10.69547518733645,14.307812329070162,-12.9425147366225,1.9578556272305454,fail
Kodak-PCD0992,unrestricted public release,0.05,moderate,0.5,1.0,0.0,14.847295748323186,0.34754679490863116,14.499748953414555,15.194842543231816,-15.28816672674238,0.5203630935020253,fail
Kodak-PCD0992,unrestricted public release,0.05,moderate,0.5,1.0,0.005,15.152137921662245,0.9035025404863536,14.248635381175891,16.0556404621486,-15.593008900081438,0.8593268133149781,fail
Kodak-PCD0992,unrestricted public release,0.05,moderate,0.5,1.0,0.01,14.922777800049573,0.35497305761358766,14.567804742435985,15.277750857663161,-15.363648778468766,0.5530576544191765,fail
Kodak-PCD0992,unrestricted public release,0.05,moderate,0.5,1.0,0.02,14.553439833680393,0.7879249085639473,13.765514925116445,15.341364742244341,-14.994310812099586,0.9434036257140942,fail
Kodak-PCD0992,unrestricted public release,0.05,severe,1.0,2.0,0.0,15.952166743045646,0.2405550164887771,15.71161172655687,16.192721759534425,-16.393037721464843,0.43380484371988104,fail
Kodak-PCD0992,unrestricted public release,0.05,severe,1.0,2.0,0.005,15.79681820167666,0.7028702410637494,15.09394796061291,16.49968844274041,-16.237689180095856,0.8301068977900783,fail
Kodak-PCD0992,unrestricted public release,0.05,severe,1.0,2.0,0.01,15.739349756032775,0.4886846632415283,15.250665092791246,16.2280344192743,-16.18022073445197,0.5411619157874287,fail
Kodak-PCD0992,unrestricted public release,0.05,severe,1.0,2.0,0.02,15.87675410254914,0.4031142703159606,15.47363983223318,16.279868372865103,-16.317625080968337,0.296577748921911,fail
Kodak-PCD0992,unrestricted public release,0.1,clean,0.0,0.0,0.0,12.601705299344227,0.7202200362619385,11.881485263082288,13.321925335606165,-13.042576277763423,0.6095312924694798,fail
Kodak-PCD0992,unrestricted public release,0.1,clean,0.0,0.0,0.005,12.541047682335636,0.8084242196874125,11.732623462648224,13.349471902023048,-12.981918660754829,0.807032509753133,fail
Kodak-PCD0992,unrestricted public release,0.1,clean,0.0,0.0,0.01,12.372809678734457,1.0954581035454038,11.277351575189053,13.468267782279861,-12.813680657153654,1.1417766849428672,fail
Kodak-PCD0992,unrestricted public release,0.1,clean,0.0,0.0,0.02,12.76601785863552,1.4675895797497285,11.29842827888579,14.233607438385249,-13.206888837054715,1.446977873023867,fail
Kodak-PCD0992,unrestricted public release,0.1,mild,0.25,0.5,0.0,14.056765978088613,0.4697017758916051,13.587064202197007,14.526467753980219,-14.49763695650781,0.6381268781150595,fail
Kodak-PCD0992,unrestricted public release,0.1,mild,0.25,0.5,0.005,13.77278767314092,1.7371950326995853,12.035592640441335,15.509982705840505,-14.213658651560117,1.7714988898031871,fail
Kodak-PCD0992,unrestricted public release,0.1,mild,0.25,0.5,0.01,13.9714620014075,0.9735607993215476,12.997901202085952,14.945022800729049,-14.412332979826695,1.0886940566500283,fail
Kodak-PCD0992,unrestricted public release,0.1,mild,0.25,0.5,0.02,13.24469488123731,0.87553964581891,12.3691552354184,14.120234527056219,-13.685565859656506,0.7975577834036712,fail
Kodak-PCD0992,unrestricted public release,0.1,moderate,0.5,1.0,0.0,14.964521651043363,0.6744034247993267,14.290118226244036,15.638925075842689,-15.405392629462556,0.6660628619819977,fail
Kodak-PCD0992,unrestricted public release,0.1,moderate,0.5,1.0,0.005,15.07393230495972,0.21288169858818687,14.861050606371533,15.286814003547908,-15.514803283378917,0.2542104725255932,fail
Kodak-PCD0992,unrestricted public release,0.1,moderate,0.5,1.0,0.01,14.538644669125404,0.07618811230906122,14.462456556816342,14.614832781434465,-14.9795156475446,0.24559057565830059,fail
Kodak-PCD0992,unrestricted public release,0.1,moderate,0.5,1.0,0.02,15.118190647399878,0.29385275720448073,14.824337890195396,15.41204340460436,-15.559061625819075,0.2773832737366839,fail
Kodak-PCD0992,unrestricted public release,0.1,severe,1.0,2.0,0.0,15.52662361609516,0.8456292213462536,14.680994394748906,16.372252837441412,-15.967494594514354,0.9650050260582588,fail
Kodak-PCD0992,unrestricted public release,0.1,severe,1.0,2.0,0.005,15.822583591760415,0.3367425247497428,15.485841067010671,16.159326116510158,-16.26345457017961,0.40724753704909333,fail
Kodak-PCD0992,unrestricted public release,0.1,severe,1.0,2.0,0.01,15.784167942284606,0.1381139147089294,15.646054027575676,15.922281856993536,-16.2250389207038,0.3304930397342051,fail
Kodak-PCD0992,unrestricted public release,0.1,severe,1.0,2.0,0.02,15.71718839704706,0.21664559777691123,15.50054279927015,15.93383399482397,-16.158059375466255,0.4028232850494912,fail
Kodak-PCD0992,unrestricted public release,0.2,clean,0.0,0.0,0.0,14.815115794616405,1.0228279609184303,13.792287833697975,15.837943755534836,-15.255986773035602,1.0077966261645028,fail
Kodak-PCD0992,unrestricted public release,0.2,clean,0.0,0.0,0.005,14.726134889807668,0.6723182123760958,14.053816677431572,15.398453102183764,-15.167005868226866,0.5381733604996747,fail
Kodak-PCD0992,unrestricted public release,0.2,clean,0.0,0.0,0.01,14.600383015785688,0.44717516588225464,14.153207849903433,15.047558181667943,-15.041253994204885,0.36649592432099903,fail
Kodak-PCD0992,unrestricted public release,0.2,clean,0.0,0.0,0.02,14.774300948740724,0.7881989386927621,13.986102010047961,15.562499887433486,-15.21517192715992,0.8114166368958398,fail
Kodak-PCD0992,unrestricted public release,0.2,mild,0.25,0.5,0.0,15.000059545463806,0.6202102454146362,14.37984930004917,15.620269790878442,-15.440930523883003,0.4213689053165537,fail
