case_id,object_id,fixed_psnr_lowres,guided_psnr_lowres,pipeline_psnr_lowres,psnr_gain_over_fixed_lowres,psnr_gap_to_guided_lowres,dataset_name,dataset_version,seed,training_regime
2,ImageNet-1k:imagenet_proxy_000,19.51877954062885,22.943288669368172,20.036782590843238,0.5180030502143893,2.9065060785249344,ImageNet-1k,ILSVRC2012 validation,0,mixed_synthetic_plus_proxy_natural_thickstats
2,ImageNet-1k:imagenet_proxy_001,19.521645115591774,22.114277115881656,18.912480340825436,-0.609164774766338,3.20179677505622,ImageNet-1k,ILSVRC2012 validation,0,mixed_synthetic_plus_proxy_natural_thickstats
2,ImageNet-1k:imagenet_proxy_002,18.186379443095834,21.84017803582976,20.65438079726256,2.468001354166727,1.185797238567197,ImageNet-1k,ILSVRC2012 validation,0,mixed_synthetic_plus_proxy_natural_thickstats
2,ImageNet-1k:imagenet_proxy_003,20.910408925742907,23.726195292171518,19.618171886158827,-1.29223703958408,4.108023406012691,ImageNet-1k,ILSVRC2012 validation,0,mixed_synthetic_plus_proxy_natural_thickstats
2,ImageNet-1k:imagenet_proxy_004,21.4576363280704,23.801444579990488,22.695639473313772,1.238003145243372,1.1058051066767156,ImageNet-1k,ILSVRC2012 validation,0,mixed_synthetic_plus_proxy_natural_thickstats
2,ImageNet-1k:imagenet_proxy_005,20.375103631462995,22.504736222215374,21.159547162979493,0.7844435315164979,1.3451890592358815,ImageNet-1k,ILSVRC2012 validation,0,mixed_synthetic_plus_proxy_natural_thickstats
2,ImageNet-1k:imagenet_proxy_006,19.892394837383875,22.633110120640016,22.01342338830564,2.121028550921764,0.619686732334376,ImageNet-1k,ILSVRC2012 validation,0,mixed_synthetic_plus_proxy_natural_thickstats
2,ImageNet-1k:imagenet_proxy_007,27.146529710363495,29.75237746784835,23.899797778605784,-3.2467319317577115,5.852579689242567,ImageNet-1k,ILSVRC2012 validation,0,mixed_synthetic_plus_proxy_natural_thickstats
2,ImageNet-1k:imagenet_proxy_008,18.80117135181588,20.921060842948567,19.92907230493996,1.1279009531240796,0.9919885380086058,ImageNet-1k,ILSVRC2012 validation,0,mixed_synthetic_plus_proxy_natural_thickstats
2,ImageNet-1k:imagenet_proxy_009,21.147320837294792,22.817433933225566,21.796221610327315,0.6489007730325227,1.0212123228982506,ImageNet-1k,ILSVRC2012 validation,0,mixed_synthetic_plus_proxy_natural_thickstats
