pairing,alpha_eta_mix,avg_frustration,anisotropy_ratio,alpha_min_rad,alpha_max_rad,alpha_span_rad,alpha_profile_std
s_wave,0.0,4.132233444309459e-11,3.053871493908078e-16,0.1308996938995747,1.0471975511965976,0.916297857297023,4.390301300078682e-27
s_wave,0.25,4.132233444309459e-11,3.053871493908078e-16,0.1308996938995747,1.0471975511965976,0.916297857297023,4.390301300078682e-27
s_wave,0.5,4.132233444309459e-11,3.053871493908078e-16,0.1308996938995747,1.0471975511965976,0.916297857297023,4.390301300078682e-27
s_wave,0.75,4.132233444309459e-11,3.053871493908078e-16,0.1308996938995747,1.0471975511965976,0.916297857297023,4.390301300078682e-27
s_wave,1.0,4.132233444309459e-11,3.053871493908078e-16,0.1308996938995747,1.0471975511965976,0.916297857297023,4.390301300078682e-27
nodal_even,0.0,0.48628248159135146,2.0510022993902424,0.0,0.7853981633974483,0.7853981633974483,0.31960934066068697
nodal_even,0.25,0.48628248159135146,2.0510022993902424,0.0,0.7853981633974483,0.7853981633974483,0.31960934066068697
nodal_even,0.5,0.48628248159135146,2.0510022993902424,0.0,0.7853981633974483,0.7853981633974483,0.31960934066068697
nodal_even,0.75,0.48628248159135146,2.0510022993902424,0.0,0.7853981633974483,0.7853981633974483,0.31960934066068697
nodal_even,1.0,0.48628248159135146,2.0510022993902424,0.0,0.7853981633974483,0.7853981633974483,0.31960934066068697
valley_even,0.0,4.132233444309459e-11,3.053871493908078e-16,0.1308996938995747,1.0471975511965976,0.916297857297023,4.390301300078682e-27
valley_even,0.25,4.132233444309459e-11,3.053871493908078e-16,0.1308996938995747,1.0471975511965976,0.916297857297023,4.390301300078682e-27
valley_even,0.5,4.132233444309459e-11,3.053871493908078e-16,0.1308996938995747,1.0471975511965976,0.916297857297023,4.390301300078682e-27
valley_even,0.75,4.132233444309459e-11,3.053871493908078e-16,0.1308996938995747,1.0471975511965976,0.916297857297023,4.390301300078682e-27
valley_even,1.0,4.132233444309459e-11,3.053871493908078e-16,0.1308996938995747,1.0471975511965976,0.916297857297023,4.390301300078682e-27
valley_odd,0.0,4.132233444309459e-11,3.053871493908078e-16,0.1308996938995747,1.0471975511965976,0.916297857297023,4.390301300078682e-27
valley_odd,0.25,0.25000000002066136,2.2204460490579217e-16,0.0,1.4398966328953218,1.4398966328953218,6.158409296133417e-17
valley_odd,0.5,0.5,0.0,0.0,0.0,0.0,0.0
valley_odd,0.75,0.7499999999793379,4.440892098617049e-16,0.5235987755982988,0.0,0.5235987755982988,1.1102230246251565e-16
valley_odd,1.0,0.9999999999586766,4.440892098679699e-16,0.1308996938995747,1.4398966328953218,1.308996938995747,1.9229626863835638e-16
