valley,k2_reduced,projector_weight
K_B,0.0,0.00045767544981388167
K_B,0.024390243902439,0.0013532476289998437
K_B,0.048780487804878,0.0036850083613724476
K_B,0.073170731707317,0.009241473560997191
K_B,0.0975609756097561,0.021344477013616046
K_B,0.1219512195121951,0.045401620667120335
K_B,0.1463414634146341,0.08894033040906564
K_B,0.1707317073170731,0.16046032450659817
K_B,0.1951219512195122,0.2666110460216076
K_B,0.2195121951219512,0.4079718110656186
K_B,0.2439024390243902,0.5749415811720994
K_B,0.2682926829268293,0.7462061543740591
K_B,0.2926829268292683,0.8919396680595185
K_B,0.3170731707317073,0.9818692897351852
K_B,0.3414634146341463,0.9954361746299735
K_B,0.3658536585365853,0.9294257630267245
K_B,0.3902439024390244,0.7992037980273832
K_B,0.4146341463414634,0.6329099401676167
K_B,0.4390243902439024,0.46160216699721196
K_B,0.4634146341463415,0.31005254916405595
K_B,0.4878048780487805,0.19179810798691702
K_B,0.5121951219512195,0.10926847352716136
K_B,0.5365853658536586,0.057330664871768904
K_B,0.5609756097560976,0.027702606023007795
K_B,0.5853658536585367,0.01232809061621814
K_B,0.6097560975609756,0.0050525725143042936
K_B,0.6341463414634146,0.0019070884566812067
K_B,0.6585365853658537,0.0006629345668208312
K_B,0.6829268292682927,0.0002122325718110889
K_B,0.7073170731707318,6.257414929140029e-05
K_B,0.7317073170731707,1.699101863242095e-05
K_B,0.7560975609756098,4.248987204573623e-06
K_B,0.7804878048780488,9.785724287219168e-07
K_B,0.8048780487804879,2.075592402918487e-07
K_B,0.8292682926829269,4.0544571461151665e-08
K_B,0.8536585365853658,1.2153800821335488e-07
K_B,0.8780487804878049,5.889555283212228e-07
K_B,0.902439024390244,2.628418017832994e-06
K_B,0.926829268292683,1.0803087993089936e-05
K_B,0.951219512195122,4.089243164354128e-05
K_B,0.975609756097561,0.00014255403161066485
K_T,0.0,0.00045767544981388004
K_T,0.024390243902439,0.00014255403161066385
K_T,0.048780487804878,4.089243164354128e-05
K_T,0.073170731707317,1.0803087993089936e-05
K_T,0.0975609756097561,2.6284180178329567e-06
K_T,0.1219512195121951,5.889555283212228e-07
K_T,0.1463414634146341,1.2153800821335488e-07
K_T,0.1707317073170731,4.054457146115195e-08
K_T,0.1951219512195122,2.0755924029185093e-07
K_T,0.2195121951219512,9.785724287219272e-07
K_T,0.2439024390243902,4.24898720457366e-06
K_T,0.2682926829268293,1.6991018632421104e-05
K_T,0.2926829268292683,6.257414929140063e-05
K_T,0.3170731707317073,0.0002122325718110889
K_T,0.3414634146341463,0.0006629345668208312
K_T,0.3658536585365853,0.0019070884566812017
K_T,0.3902439024390244,0.0050525725143042936
K_T,0.4146341463414634,0.012328090616218207
K_T,0.4390243902439024,0.027702606023007892
K_T,0.4634146341463415,0.05733066487176921
K_T,0.4878048780487805,0.10926847352716165
K_T,0.5121951219512195,0.19179810798691738
K_T,0.5365853658536586,0.31005254916405656
K_T,0.5609756097560976,0.4616021669972127
K_T,0.5853658536585367,0.6329099401676175
K_T,0.6097560975609756,0.7992037980273832
K_T,0.6341463414634146,0.9294257630267245
K_T,0.6585365853658537,0.9954361746299735
K_T,0.6829268292682927,0.981869289735185
K_T,0.7073170731707318,0.891939668059518
K_T,0.7317073170731707,0.7462061543740588
K_T,0.7560975609756098,0.5749415811720994
K_T,0.7804878048780488,0.4079718110656182
K_T,0.8048780487804879,0.266611046021607
K_T,0.8292682926829269,0.16046032450659795
K_T,0.8536585365853658,0.08894033040906564
K_T,0.8780487804878049,0.04540162066712023
K_T,0.902439024390244,0.021344477013615887
K_T,0.926829268292683,0.009241473560997191
K_T,0.951219512195122,0.0036850083613724446
K_T,0.975609756097561,0.0013532476289998437
total,0.0,1.0
total,0.024390243902439,1.0
total,0.048780487804878,1.0
total,0.073170731707317,1.0
total,0.0975609756097561,1.0
total,0.1219512195121951,1.0
total,0.1463414634146341,1.0
total,0.1707317073170731,1.0
total,0.1951219512195122,1.0
total,0.2195121951219512,1.0
total,0.2439024390243902,1.0
total,0.2682926829268293,1.0
total,0.2926829268292683,1.0
total,0.3170731707317073,1.0
total,0.3414634146341463,1.0
total,0.3658536585365853,1.0
total,0.3902439024390244,1.0
total,0.4146341463414634,1.0
total,0.4390243902439024,1.0
total,0.4634146341463415,1.0
total,0.4878048780487805,1.0
total,0.5121951219512195,1.0
total,0.5365853658536586,1.0
total,0.5609756097560976,1.0
total,0.5853658536585367,1.0
total,0.6097560975609756,1.0
total,0.6341463414634146,1.0
total,0.6585365853658537,1.0
total,0.6829268292682927,1.0
total,0.7073170731707318,1.0
total,0.7317073170731707,1.0
total,0.7560975609756098,1.0
total,0.7804878048780488,1.0
total,0.8048780487804879,1.0
total,0.8292682926829269,1.0
total,0.8536585365853658,1.0
total,0.8780487804878049,1.0
total,0.902439024390244,1.0
total,0.926829268292683,1.0
total,0.951219512195122,1.0
total,0.975609756097561,1.0
