dataset_name,dataset_version,phase_noise_sigma_rad,misalignment_label,shift_sigma_px,rotation_sigma_deg,wavelength_drift_fraction,mean_degradation_vs_clean_db,degradation_ci95_half_width,degradation_ci_low,degradation_ci_high,mean_psnr_gain_over_fixed_lowres,gain_ci95_half_width,pass_state
Kodak-PCD0992,unrestricted public release,0.0,clean,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1083978907880478,0.19632099800310518,fail
Kodak-PCD0992,unrestricted public release,0.0,clean,0.0,0.0,0.005,0.007596035014647525,0.011084670302576313,-0.003488635287928788,0.018680705317223836,-1.1159939258026954,0.2018633663267729,fail
Kodak-PCD0992,unrestricted public release,0.0,clean,0.0,0.0,0.01,0.020244907963096304,0.020662591724825322,-0.0004176837617290187,0.04090749968792162,-1.1286427987511443,0.21303280394568794,fail
Kodak-PCD0992,unrestricted public release,0.0,clean,0.0,0.0,0.02,0.08355900422327449,0.051211519219890755,0.03234748500338373,0.13477052344316526,-1.1919568950113224,0.246478266119779,fail
Kodak-PCD0992,unrestricted public release,0.0,mild,0.25,0.5,0.0,10.856651922323744,0.7773110205242068,10.079340901799537,11.633962942847951,-11.965049813111795,0.6140356447118364,fail
Kodak-PCD0992,unrestricted public release,0.0,mild,0.25,0.5,0.005,10.988949968033092,1.0026947987876722,9.98625516924542,11.991644766820764,-12.09734785882114,0.8303214889364116,fail
Kodak-PCD0992,unrestricted public release,0.0,mild,0.25,0.5,0.01,9.9076347370362,2.5109022994282624,7.396732437607938,12.418537036464464,-11.01603262782425,2.4806138898891694,fail
Kodak-PCD0992,unrestricted public release,0.0,mild,0.25,0.5,0.02,11.644180410833679,0.03559638994359729,11.608584020890081,11.679776800777276,-12.752578301621726,0.23186410522630535,fail
Kodak-PCD0992,unrestricted public release,0.0,moderate,0.5,1.0,0.0,12.934975431918625,1.280486677301382,11.654488754617242,14.215462109220008,-14.043373322706671,1.3129904683912852,fail
Kodak-PCD0992,unrestricted public release,0.0,moderate,0.5,1.0,0.005,13.088670433011217,0.8734600957638415,12.215210337247376,13.962130528775058,-14.197068323799265,0.7678736153990825,fail
Kodak-PCD0992,unrestricted public release,0.0,moderate,0.5,1.0,0.01,13.687703586484687,0.3464737736855645,13.341229812799122,14.034177360170252,-14.796101477272737,0.164055607416854,fail
Kodak-PCD0992,unrestricted public release,0.0,moderate,0.5,1.0,0.02,13.07115381478244,1.2498625351072472,11.821291279675192,14.321016349889687,-14.17955170557049,1.2751374985104036,fail
Kodak-PCD0992,unrestricted public release,0.0,severe,1.0,2.0,0.0,14.51722130168759,0.25752831576102364,14.259692985926566,14.774749617448613,-15.625619192475634,0.2497756585870814,fail
Kodak-PCD0992,unrestricted public release,0.0,severe,1.0,2.0,0.005,14.494984336230516,0.34460001657878564,14.15038431965173,14.839584352809302,-15.603382227018564,0.3820679677683055,fail
