dataset_name,dataset_version,phase_noise_sigma_rad,misalignment_label,shift_sigma_px,rotation_sigma_deg,wavelength_drift_fraction,seed_count,repeat_count_per_seed,sample_count_per_seed,mean_psnr_gain_over_fixed_lowres,gain_ci95_half_width,gain_ci_low,gain_ci_high,mean_degradation_vs_clean_db,degradation_ci95_half_width,degradation_ci_low,degradation_ci_high,mean_method_psnr_lowres,mean_fixed_psnr_lowres,mean_guided_psnr_lowres,failure_threshold_gain_db,pass_state
Kodak-PCD0992,unrestricted public release,0.0,clean,0.0,0.0,0.0,3,1,72,-1.1083978907880478,0.19632099800310518,-1.304718888791153,-0.9120768927849426,0.0,0.0,0.0,0.0,23.948784501736284,25.05718239252433,26.99159783044102,0.0,fail
Kodak-PCD0992,unrestricted public release,0.0,clean,0.0,0.0,0.005,3,1,72,-1.1159939258026954,0.2018633663267729,-1.3178572921294682,-0.9141305594759225,0.007596035014647525,0.011084670302576313,-0.003488635287928788,0.018680705317223836,23.938956350078275,25.05495027588097,26.996015768415358,0.0,fail
Kodak-PCD0992,unrestricted public release,0.0,clean,0.0,0.0,0.01,3,1,72,-1.1286427987511443,0.21303280394568794,-1.3416756026968322,-0.9156099948054564,0.020244907963096304,0.020662591724825322,-0.0004176837617290187,0.04090749968792162,23.922378191059064,25.0510209898102,26.998731881358268,0.0,fail
Kodak-PCD0992,unrestricted public release,0.0,clean,0.0,0.0,0.02,3,1,72,-1.1919568950113224,0.246478266119779,-1.4384351611311015,-0.9454786288915434,0.08355900422327449,0.051211519219890755,0.03234748500338373,0.13477052344316526,23.856620766969915,25.048577661981238,27.009045430169824,0.0,fail
Kodak-PCD0992,unrestricted public release,0.0,mild,0.25,0.5,0.0,3,4,288,-11.965049813111795,0.6140356447118364,-12.579085457823632,-11.351014168399958,10.856651922323744,0.7773110205242068,10.079340901799537,11.633962942847951,13.092132579412535,25.05718239252433,26.99159783044102,0.0,fail
Kodak-PCD0992,unrestricted public release,0.0,mild,0.25,0.5,0.005,3,4,288,-12.09734785882114,0.8303214889364116,-12.92766934775755,-11.267026369884729,10.988949968033092,1.0026947987876722,9.98625516924542,11.991644766820764,12.957602417059832,25.05495027588097,26.996015768415358,0.0,fail
Kodak-PCD0992,unrestricted public release,0.0,mild,0.25,0.5,0.01,3,4,288,-11.01603262782425,2.4806138898891694,-13.496646517713419,-8.535418737935082,9.9076347370362,2.5109022994282624,7.396732437607938,12.418537036464464,14.034988361985958,25.0510209898102,26.998731881358268,0.0,fail
Kodak-PCD0992,unrestricted public release,0.0,mild,0.25,0.5,0.02,3,4,288,-12.752578301621726,0.23186410522630535,-12.984442406848032,-12.52071419639542,11.644180410833679,0.03559638994359729,11.608584020890081,11.679776800777276,12.295999360359511,25.048577661981238,27.009045430169824,0.0,fail
Kodak-PCD0992,unrestricted public release,0.0,moderate,0.5,1.0,0.0,3,4,288,-14.043373322706671,1.3129904683912852,-15.356363791097957,-12.730382854315385,12.934975431918625,1.280486677301382,11.654488754617242,14.215462109220008,11.013809069817656,25.05718239252433,26.99159783044102,0.0,fail
Kodak-PCD0992,unrestricted public release,0.0,moderate,0.5,1.0,0.005,3,4,288,-14.197068323799265,0.7678736153990825,-14.964941939198347,-13.429194708400182,13.088670433011217,0.8734600957638415,12.215210337247376,13.962130528775058,10.857881952081705,25.05495027588097,26.996015768415358,0.0,fail
