disorder_strength,seed,min_abs_energy,edge_weight,nu_ring
0.0,0,0.26640932710099124,0.769383755956532,1
0.0,1,0.26640932710099124,0.769383755956532,1
0.0,2,0.26640932710099124,0.769383755956532,1
0.0,3,0.26640932710099124,0.769383755956532,1
0.0,4,0.26640932710099124,0.769383755956532,1
0.0,5,0.26640932710099124,0.769383755956532,1
0.0,6,0.26640932710099124,0.769383755956532,1
0.0,7,0.26640932710099124,0.769383755956532,1
0.0,8,0.26640932710099124,0.769383755956532,1
0.0,9,0.26640932710099124,0.769383755956532,1
0.0,10,0.26640932710099124,0.769383755956532,1
0.0,11,0.26640932710099124,0.769383755956532,1
0.0,12,0.26640932710099124,0.769383755956532,1
0.0,13,0.26640932710099124,0.769383755956532,1
0.0,14,0.26640932710099124,0.769383755956532,1
0.0,15,0.26640932710099124,0.769383755956532,1
0.0,16,0.26640932710099124,0.769383755956532,1
0.0,17,0.26640932710099124,0.769383755956532,1
0.0,18,0.26640932710099124,0.769383755956532,1
0.0,19,0.26640932710099124,0.769383755956532,1
1.0,0,0.15677234905296158,0.9119216939790324,1
1.0,1,0.19274001801089188,0.8191643105069103,1
1.0,2,0.19223767150301713,0.7503562579371654,1
1.0,3,0.23585524115954387,0.6676271498737197,1
1.0,4,0.22643006411229913,0.8583496366899763,1
1.0,5,0.22495261053883228,0.8647604031461753,1
1.0,6,0.21601704767220567,0.034337128512249,1
1.0,7,0.19497146857372616,0.9050361361373681,1
1.0,8,0.19052038193061022,0.9189035260195542,1
1.0,9,0.21878124740490276,0.7455958219739234,1
1.0,10,0.23848979104677762,0.5852382803947226,1
1.0,11,0.18410890423946788,0.5865308924621642,1
1.0,12,0.20027544325617835,0.7358972910261952,1
1.0,13,0.16625776817216284,0.8147400486246577,1
1.0,14,0.2241297822443185,0.31163401122703244,1
1.0,15,0.19190589912539088,0.7990940619267731,1
1.0,16,0.18203893298622023,0.7876362202102303,1
1.0,17,0.22656767450437515,0.2802241533616467,1
1.0,18,0.20655968108545206,0.7951790068533813,1
1.0,19,0.14234235258186095,0.8761442279177634,1
2.0,0,0.020890530163082836,0.9439510084915901,1
2.0,1,0.13759280509490973,0.6085290367786383,1
2.0,2,0.0969197092806351,0.4037381341718225,1
2.0,3,0.17419870796623393,0.023501955382046427,1
2.0,4,0.14068953786809574,0.020150429576007604,1
2.0,5,0.12059022344477126,0.8243788263218845,1
2.0,6,0.027895013649222995,0.008778281764277179,1
2.0,7,0.08162620216516515,0.9532148451083938,1
2.0,8,0.07736473787463014,0.9534777217222982,1
2.0,9,0.07134151718548919,0.07325013289489236,1
2.0,10,0.15423099941733184,0.04747392331847428,1
2.0,11,0.09343768753783108,0.017688184707301435,1
2.0,12,0.03997766847936293,0.0006091563096129517,1
2.0,13,0.06383844928751661,0.846117876322188,1
2.0,14,0.08126989478691841,0.3382812492518648,1
2.0,15,0.09514451946790943,0.927286608339495,1
2.0,16,0.06571328875330053,0.7924540899776326,1
2.0,17,0.1300885177218999,0.01672099086550689,1
2.0,18,0.08900971490597478,0.08372517850834715,1
2.0,19,0.031099623414365226,0.9249243301736174,1
3.0,0,0.018722437475394205,0.9216586663680131,1
3.0,1,0.03394798361654862,0.0003333231907214802,1
3.0,2,0.0016174929627730318,0.08508763674307343,1
3.0,3,0.11964215941775051,0.012948324786543194,1
3.0,4,0.0583638170979459,8.088933254881008e-05,1
3.0,5,0.015467401420354951,0.8137887365997435,-1
3.0,6,0.04024353732675899,0.034844246791346074,1
3.0,7,0.0020276637255381975,0.9560417398420418,1
3.0,8,0.0002165899537062706,0.9133015924888346,1
3.0,9,0.008378412447361056,0.40166979981256135,-1
3.0,10,0.03029869941397345,0.0015482876576814193,1
3.0,11,0.005517934441215198,0.009104855498036916,1
3.0,12,0.021592721098426294,8.527752115451943e-05,1
3.0,13,0.035130338369393714,0.5792699730139514,1
3.0,14,0.05262717302834657,0.006323065109943605,1
3.0,15,0.006390823631616511,0.9702445904270478,1
3.0,16,0.013855891960248622,0.7999089790943654,1
3.0,17,0.037733963835875024,0.00024023053799560707,1
3.0,18,0.0008181903187734721,0.17503667776372295,1
3.0,19,0.008810956438557834,0.9152629241242679,1
4.0,0,0.016194323100542245,0.0003169489357635112,1
4.0,1,0.0029966362297075494,0.0006741968789198541,1
4.0,2,0.006790955833390702,0.11558886281455219,1
4.0,3,0.07798634343314761,0.007961385698803785,1
4.0,4,0.011275561145775163,1.8846847294972125e-05,1
4.0,5,0.06129622006910248,0.032002064585850726,1
4.0,6,0.0006629163563104047,0.004322623554386924,1
4.0,7,0.006193546204158585,0.07542455527765393,1
4.0,8,0.010558143869461476,0.014481052628346184,1
4.0,9,0.004481984740588524,0.2459171875682982,-1
4.0,10,0.04074451738138267,0.5339992171472304,1
4.0,11,0.019382138327831373,0.017306755302508796,1
4.0,12,0.044782108411571014,0.9891959414194258,1
4.0,13,0.04867490223961098,0.7059805397782114,1
4.0,14,0.009967017235291167,5.711028285157806e-06,1
4.0,15,0.0007761822253529658,3.1168711519691456e-05,1
4.0,16,0.00872837406555104,0.000314526000128222,1
4.0,17,0.004607294861525726,4.3175479418902397e-05,1
4.0,18,0.04704081096522132,0.6588106647544092,1
4.0,19,0.018346071964316472,0.05331461322290315,1
