dot_strength,min_abs_energy,edge_weight,nu_ring
0.0,0.26640932710099124,0.769383755956532,1
0.1,0.2629879988107673,0.7845532727806706,1
0.2,0.25629428137459453,0.8150038288710253,1
0.30000000000000004,0.2462372093803774,0.8501298398691177,1
0.4,0.232559285845015,0.8789362401850855,1
0.5,0.2148818744167606,0.8953708024612578,1
0.6000000000000001,0.19301755086942549,0.9016088787146341,1
0.7000000000000001,0.16756160701908784,0.9050387143844668,1
0.8,0.1401639535539322,0.9105159704635047,1
0.9,0.11301726697823129,0.9171467453958014,1
1.0,0.08808599359946315,0.9210562643426962,1
1.1,0.06665864477593879,0.9184620180888895,1
1.2000000000000002,0.04925672415821869,0.9071637528217836,1
1.3,0.035765197268330225,0.8869449029487793,1
1.4000000000000001,0.025671587720026035,0.8591960969495215,1
1.5,0.018307377509992943,0.8261564796196965,1
1.6,0.013018041493625504,0.7902548406461287,1
1.7000000000000002,0.00924684236059172,0.7537482833460991,1
1.8,0.006556342235140257,0.7185738129494761,1
1.9000000000000001,0.004618048148944588,0.6862689186424219,1
2.0,0.003191249794839168,0.6578849910960063,-1
2.1,0.0021016927467401698,0.6338914948079574,-1
2.2,0.0012241023600321184,0.614110247337668,-1
2.3000000000000003,0.0004693396042483509,0.5977319392527782,-1
2.4000000000000004,0.00022433220154599888,0.5834589877225176,-1
2.5,0.0008968503201714933,0.5697898142321747,-1
2.6,0.0015699835073147556,0.5554063875906265,-1
2.7,0.0022502067146408285,0.5395583703509524,-1
2.8000000000000003,0.0029318789435342505,0.5222905170102046,-1
2.9000000000000004,0.003601270737831302,0.5043898296733231,-1
3.0,0.004241198824301038,0.4870536415196644,-1
