metric,mean,std,ci95_half_width,seed_count
mean_fixed_psnr_lowres,22.22661162663839,0.4461085082400527,0.5048192999475466,3
mean_guided_psnr_lowres,25.738931723550838,0.3747278058322085,0.42404443115732426,3
mean_phaseonly_psnr_lowres,37.185926794666265,1.2788895692148718,1.4471997846180213,3
mean_phaseonly_psnr_gain_over_fixed_lowres,14.959315168027873,0.8509134907179771,0.962899260529292,3
mean_phaseonly_psnr_gap_to_guided_lowres,-11.446995071115424,0.9249955241620117,1.0467309731533074,3
mean_fixed_ssim_lowres,0.9164283945382204,0.007449563693908122,0.00842997490388531,3
mean_guided_ssim_lowres,0.9598445809933827,0.003845020272833048,0.0043510500395370685,3
mean_phaseonly_ssim_lowres,0.996445911180296,0.0011536914288388367,0.0013055247517236581,3
mean_phaseonly_ssim_gain_over_fixed_lowres,0.08001751664207564,0.0064134887734670154,0.007257545760819416,3
phaseonly_better_than_fixed_fraction,1.0,0.0,0.0,3
