metric,mean,std,ci95_half_width,seed_count
mean_fixed_psnr_lowres,17.784441034928314,0.13248778911109307,0.11613066743529572,5
mean_guided_psnr_lowres,20.657254157987204,0.1459597554344112,0.1279393665711904,5
mean_phaseonly_psnr_lowres,25.532559032288514,0.4601203966560812,0.4033133100248084,5
mean_phaseonly_psnr_gain_over_fixed_lowres,7.7481179973601995,0.3925227476101394,0.3440613581775358,5
mean_phaseonly_psnr_gap_to_guided_lowres,-4.875304874301307,0.39276932002635423,0.34427748842967665,5
mean_fixed_ssim_lowres,0.8293794048822006,0.005031644775581167,0.004410431104677815,5
mean_guided_ssim_lowres,0.9079516355939447,0.003977449864793746,0.0034863885237122563,5
mean_phaseonly_ssim_lowres,0.9740736113027906,0.002408461274654797,0.002111109387471136,5
mean_phaseonly_ssim_gain_over_fixed_lowres,0.14469420642058986,0.004096236585509645,0.0035905096751915086,5
phaseonly_better_than_fixed_fraction,1.0,0.0,0.0,5
