ledger,method,seed,mean_psnr_gain,better_than_fixed_fraction,n_samples
same_family_heldout_aberration,reference_psf_deconvolution,6,2.9350987126353556,1.0,144
same_family_heldout_aberration,reference_psf_deconvolution,7,3.08934363574818,1.0,144
same_family_heldout_aberration,reference_psf_deconvolution,8,2.9989551755705763,1.0,144
same_family_heldout_aberration,reference_psf_deconvolution,9,2.9364417991866465,1.0,144
same_family_heldout_aberration,spectral_frontend,0,3.9881400956146282,0.9930555555555556,144
same_family_heldout_aberration,spectral_frontend,1,3.542541927018421,0.9930555555555556,144
same_family_heldout_aberration,spectral_frontend,2,3.526060482231496,1.0,144
same_family_heldout_aberration,spectral_frontend,3,3.891665851696003,0.9930555555555556,144
same_family_heldout_aberration,spectral_frontend,4,3.7504198274274554,0.9930555555555556,144
same_family_heldout_aberration,spectral_frontend,5,3.6627909096215387,1.0,144
same_family_heldout_aberration,spectral_frontend,6,3.6652686638445147,0.9791666666666666,144
same_family_heldout_aberration,spectral_frontend,7,3.6386191656330578,1.0,144
same_family_heldout_aberration,spectral_frontend,8,3.6446064077145426,1.0,144
same_family_heldout_aberration,spectral_frontend,9,3.706227886962639,0.9861111111111112,144
same_family_heldout_aberration,trainable_surrogate_ridge,0,2.955330222180544,1.0,144
same_family_heldout_aberration,trainable_surrogate_ridge,1,2.8455598667227617,1.0,144
same_family_heldout_aberration,trainable_surrogate_ridge,2,2.814769219097306,1.0,144
same_family_heldout_aberration,trainable_surrogate_ridge,3,2.9986644443212884,1.0,144
same_family_heldout_aberration,trainable_surrogate_ridge,4,2.971733626175401,1.0,144
same_family_heldout_aberration,trainable_surrogate_ridge,5,2.87662453773551,1.0,144
same_family_heldout_aberration,trainable_surrogate_ridge,6,2.865252405505958,1.0,144
same_family_heldout_aberration,trainable_surrogate_ridge,7,2.8732191928676065,1.0,144
same_family_heldout_aberration,trainable_surrogate_ridge,8,2.9284183180711256,1.0,144
same_family_heldout_aberration,trainable_surrogate_ridge,9,2.848147502479846,1.0,144
