point_index,d_a_meV,d_b_meV,d_c_meV,v3_ab_common_meV,v3_ab_orbital_selective_meV,v3_c_meV,solver_iterations,solver_residual_norm_meV,compressed_v3_ab_common_meV,compressed_v3_ab_orbital_selective_meV,compressed_v3_c_meV,compressed_d_a_meV,compressed_d_b_meV,compressed_d_c_meV
31,-0.2256344255996956,-3.705830622994663,3.447327378319835,-1.9657325242971797,1.7400980986974837,3.447327378319835,5,7.460526412800613,-1.5231614917874445,0.04350954169514617,2.8731820045985645,-1.4796519500922984,-1.5666710334825906,2.8731820045985645
32,-0.2256344255996956,-3.705830622994663,3.447327378319835,-1.9657325242971797,1.7400980986974837,3.447327378319835,0,7.6533004433222755,-1.564849181709478,0.045264229081574646,2.9513164161681646,-1.5195849526279035,-1.6101134107910526,2.9513164161681646
33,-0.185277220946786,-3.8031732426299336,3.503391884151925,-1.99422523178836,1.8089480108415736,3.503391884151925,6,7.828218536726246,-1.6076948109600004,0.046338212187605546,3.031463761323388,-1.561356598772395,-1.654033023147606,3.031463761323388
34,-0.1147924726384521,-4.163497889611074,3.789441071701872,-2.1391451811247637,2.024352708486311,3.789441071701872,8,7.970605696556618,-1.651843352457192,0.04644495097430313,3.113850053732273,-1.6053984014828888,-1.6982883034314953,3.113850053732273
35,-0.3259110864309351,-4.365509184962181,4.200205696795518,-2.345710135696558,2.019799049265623,4.200205696795518,5,8.115942372465504,-1.6974735240972931,0.045226454108856604,3.1987542045521544,-1.6522470699884366,-1.7426999782061496,3.1987542045521544
36,0.6107609536807994,-5.6772109278102,4.9882846798021045,-2.5332249870647003,3.1439859407454995,4.9882846798021045,2,8.229697372784871,-1.7448032779069698,0.04224155200663443,3.2865166549432234,-1.7025617259003354,-1.7870448299136041,3.2865166549432234
37,0.3131294787668999,-5.7083646692079455,5.316673232340025,-2.697617595220523,3.0107470739874227,5.316673232340025,1,8.355902800143266,-1.7940955000529524,0.03695371062274936,3.3775483378911733,-1.757141789430203,-1.8310492106757017,3.3775483378911733
38,0.3131294787668999,-5.7083646692079455,5.316673232340025,-2.697617595220523,3.0107470739874227,5.316673232340025,0,8.473988478291174,-1.8456637164737966,0.02871882414952741,3.472339645072411,-1.8169448923242693,-1.8743825406233239,3.472339645072411
39,0.1084072868645965,-5.749789532487159,5.562602896025029,-2.820691122811281,2.929098409675878,5.562602896025029,1,8.583963539651718,-1.899877532904681,0.01677356568905075,3.571468970182764,-1.8831039672156304,-1.9166510985937317,3.571468970182764
40,0.1084072868645965,-5.749789532487159,5.562602896025029,-2.820691122811281,2.929098409675878,5.562602896025029,0,8.686065274700125,-1.9571674684072848,0.00022502346621917072,3.6756102899446805,-1.9569424449410657,-1.957392491873504,3.6756102899446805
