k2_reduced,baseline_E0,corrected_E0,delta_E0
0.0,0.18485681418287217,0.14032719765467594,-0.04452961652819623
0.024390243902439025,0.19236079486318255,0.11593092076550539,-0.07642987409767717
0.04878048780487805,0.18740574314061836,0.09187726185101451,-0.09552848128960385
0.07317073170731708,0.17698199321990626,0.0724364272874562,-0.10454556593245007
0.0975609756097561,0.16658900848284633,0.0583349425682686,-0.10825406591457773
0.12195121951219512,0.15740115794267398,0.04832960231160011,-0.10907155563107387
0.14634146341463417,0.14887142591388508,0.04749745870720401,-0.10137396720668107
0.17073170731707318,0.1398797926084673,0.051774398812926635,-0.08810539379554067
0.1951219512195122,0.12913407738645408,0.04537506159260492,-0.08375901579384916
0.21951219512195122,0.11605530529624467,0.04127494755967566,-0.074780357736569
0.24390243902439024,0.10737551380047408,0.03892324549548242,-0.06845226830499165
0.2682926829268293,0.10685348047425708,0.040069533014542975,-0.06678394745971411
0.29268292682926833,0.11433284170096371,0.04377407533144241,-0.0705587663695213
0.3170731707317073,0.14587269347466714,0.04634841254074354,-0.0995242809339236
0.34146341463414637,0.16363888364138543,0.04795604850418269,-0.11568283513720273
0.36585365853658536,0.17424402775045192,0.037375422959616114,-0.1368686047908358
0.3902439024390244,0.19951962099146167,0.036777071282173696,-0.16274254970928798
0.41463414634146345,0.1920189168095824,0.03895127447941307,-0.15306764233016934
0.43902439024390244,0.15440297872801376,0.008243262887727481,-0.14615971584028628
0.4634146341463415,0.11131878974801498,0.004915511329900077,-0.10640327841811491
0.4878048780487805,0.08424440071437701,0.0028744322528535186,-0.0813699684615235
0.5121951219512195,0.07092664102951984,0.003527797420085844,-0.067398843609434
0.5365853658536586,0.06297228627059918,0.011431556585220527,-0.05154072968537866
0.5609756097560976,0.05826268134590471,0.017014653711006474,-0.04124802763489824
0.5853658536585367,0.0563842101283119,0.020237564509401257,-0.03614664561891064
0.6097560975609756,0.057587151377704024,0.024486516348373722,-0.033100635029330305
0.6341463414634146,0.06250674383492655,0.03189179468525234,-0.030614949149674206
0.6585365853658537,0.07203341118191965,0.04424130494965013,-0.02779210623226952
0.6829268292682927,0.08723028632093643,0.06455726016638022,-0.022673026154556214
0.7073170731707318,0.10928761672518529,0.10343429394156989,-0.005853322783615403
0.7317073170731707,0.1398854734374554,0.16893016656695947,0.029044693129504084
0.7560975609756098,0.18136684550159227,0.22330511469132844,0.04193826918973617
0.7804878048780488,0.23502887252036161,0.25082374889372355,0.015794876373361938
0.8048780487804879,0.27402029698211544,0.2570498922709009,-0.016970404711214526
0.8292682926829269,0.263709176153225,0.24805828450402945,-0.01565089164919553
0.8536585365853658,0.240647279451799,0.2329858819226104,-0.007661397529188596
0.8780487804878049,0.2215372538845906,0.21638298372099582,-0.005154270163594793
0.9024390243902439,0.20215037627640686,0.19760920742478946,-0.0045411688516174
0.926829268292683,0.18085810922097395,0.17713765010094795,-0.0037204591200259984
0.951219512195122,0.1626739204022081,0.16018678577198353,-0.002487134630224569
0.975609756097561,0.1518002066057477,0.15030524786242408,-0.0014949587433236156
