metric,mean,std,ci95_half_width,seed_count
mean_fixed_psnr_lowres,17.844623935063254,0.25968055694667663,0.2938562133346924,3
mean_guided_psnr_lowres,20.81722974790135,0.2816914017355762,0.31876382897605837,3
mean_phaseonly_psnr_lowres,25.851189422962808,0.7852167261562301,0.8885563729082524,3
mean_phaseonly_psnr_gain_over_fixed_lowres,8.006565487899557,0.5328045573788828,0.6029251150711884,3
mean_phaseonly_psnr_gap_to_guided_lowres,-5.0339596750614595,0.6480222430448586,0.7333062002671158,3
mean_fixed_ssim_lowres,0.8312195063721282,0.009453110960725509,0.010697202069394379,3
mean_guided_ssim_lowres,0.9110153976863575,0.005749147594655103,0.006505772946314626,3
mean_phaseonly_ssim_lowres,0.9753419867786995,0.0036660313801916916,0.004148505040254126,3
mean_phaseonly_ssim_gain_over_fixed_lowres,0.1441224804065713,0.005910004634682091,0.006687799822821457,3
phaseonly_better_than_fixed_fraction,1.0,0.0,0.0,3
